발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2022,2022-01-10 2:00,야,월,1,1,0,1,0,경남,거제시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,화물차,승용차,1102582,1647161,128.6216069,34.81387428
2022,2022-01-10 3:00,야,월,1,0,0,0,0,전남,해남군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,917269,1619845,126.5980882,34.5693791
2022,2022-01-10 5:00,야,월,2,3,3,0,0,충남,아산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,954916,1873022,126.9942667,36.85437287
2022,2022-01-10 6:00,주,월,1,1,1,0,0,충남,공주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,건설기계,승용차,978590,1823650,127.2612056,36.41012199
2022,2022-01-10 6:00,주,월,1,2,0,2,0,인천,남동구,차대차,추돌,추돌,기타,교차로,교차로부근,화물차,건설기계,930953,1934267,126.7198318,37.40495115
2022,2022-01-10 9:00,주,월,1,0,0,0,0,대전,중구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,988998,1809715,127.3774869,36.2846681
2022,2022-01-10 10:00,주,월,1,1,1,0,0,인천,서구,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로내,화물차,화물차,924732,1953891,126.6475391,37.58133129
2022,2022-01-10 13:00,주,월,1,0,0,0,0,경기,평택시,차대차,기타,기타,신호위반,교차로,교차로횡단보도내,자전거,승용차,949007,1887035,126.9270406,36.98038704
2022,2022-01-10 17:00,주,월,1,0,0,0,0,인천,부평구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,특수차,보행자,928906,1941501,126.6960074,37.46999541
2022,2022-01-10 18:00,야,월,1,0,0,0,0,충남,논산시,차대사람,횡단중,횡단중,기타,교차로,교차로부근,승용차,보행자,964185,1795724,127.1018246,36.15793147
2022,2022-01-10 18:00,야,월,1,0,0,0,0,전북,남원시,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,988158,1710385,127.3696068,35.38908244
2022,2022-01-10 20:00,야,월,1,0,0,0,0,경북,구미시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,이륜차,1077308,1790314,128.3589105,36.10673957
2022,2022-01-11 0:00,야,화,1,0,0,0,0,경기,이천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,986899,1916931,127.3522709,37.25116756
2022,2022-01-11 0:00,야,화,1,0,0,0,0,충북,청주시,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,995098,1848449,127.4451683,36.63391496
2022,2022-01-11 1:00,야,화,1,0,0,0,0,전북,정읍시,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,자전거,화물차,948230,1741092,126.9280071,35.6646687
2022,2022-01-11 8:00,주,화,1,0,0,0,0,경북,구미시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1074966,1790571,128.3329173,36.10924007
2022,2022-01-12 7:00,주,수,1,0,0,0,0,경남,거창군,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,1036730,1743165,127.9059191,35.68403396
2022,2022-01-12 9:00,주,수,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943082,1951835,126.855511,37.56411848
2022,2022-01-12 10:00,주,수,1,0,0,0,0,전남,순천시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,995307,1685655,127.4484664,35.16615075
2022,2022-01-12 13:00,주,수,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,건설기계,보행자,941417,1946547,126.8370812,37.51635332
2022,2022-01-12 15:00,주,수,1,1,1,0,0,경기,수원시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,956582,1922734,127.0100797,37.30255396
2022,2022-01-12 16:00,주,수,1,0,0,0,0,경북,포항시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,1168613,1781107,129.3710099,36.01221256
2022,2022-01-13 0:00,야,목,1,0,0,0,0,경기,군포시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,950825,1930057,126.9446357,37.36827305
2022,2022-01-13 7:00,주,목,1,0,0,0,0,충북,청주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,988608,1852026,127.3725208,36.66610587
2022,2022-01-13 12:00,주,목,1,0,0,0,0,경북,고령군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1068640,1746541,128.2588374,35.71276525
2022,2022-01-13 15:00,주,목,1,1,0,1,0,경기,양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,956167,1976416,127.00219,37.78638429
2022,2022-01-13 22:00,야,목,2,2,0,2,0,서울,영등포구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,고가도로위,화물차,이륜차,946775,1946057,126.897744,37.5122616
2022,2022-01-13 22:00,야,목,1,0,0,0,0,강원,춘천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1020064,1988835,127.728214,37.89914888
2022,2022-01-13 23:00,야,목,1,2,2,0,0,충남,천안시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,교량위,승용차,승용차,966839,1865012,127.1283601,36.78266038
2022,2022-01-14 4:00,야,금,1,0,0,0,0,전북,군산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음,918347,1772850,126.5946241,35.94894983
2022,2022-01-14 10:00,주,금,1,1,1,0,0,경기,광주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,985370,1920731,127.3349549,37.28539794
2022,2022-01-14 20:00,야,금,1,0,0,0,0,경기,광명시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,이륜차,943369,1938788,126.8597655,37.44654235
2022,2022-01-14 21:00,야,금,1,0,0,0,0,부산,기장군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,1152966,1704173,129.1828359,35.32142683
2022,2022-01-15 13:00,주,토,1,0,0,0,0,경기,성남시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,970835,1937377,127.1703277,37.43509831
2022,2022-01-15 13:00,주,토,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,이륜차,1109971,1683844,128.7072255,35.14381748
2022,2022-01-15 14:00,주,토,1,3,0,3,0,인천,연수구,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,이륜차,승용차,924375,1932757,126.6456682,37.39082803
2022,2022-01-15 16:00,주,토,1,0,0,0,0,전남,해남군,차량단독,기타,기타,안전운전 의무 불이행,기타,기타,승용차,없음,909361,1601606,126.5138258,34.40425321
2022,2022-01-15 18:00,야,토,1,0,0,0,0,경기,안양시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,기타,953618,1933073,126.9759884,37.39560157
2022,2022-01-15 18:00,야,토,1,0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,966477,1967758,127.1196772,37.70878549
2022,2022-01-15 20:00,야,토,1,0,0,0,0,대전,유성구,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,자전거,983894,1816060,127.3205203,36.34179926
2022,2022-01-15 21:00,야,토,1,0,0,0,0,경기,광명시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,944067,1941791,126.8674283,37.4736514
2022,2022-01-15 22:00,야,토,1,2,2,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,화물차,없음,1083608,1680039,128.4174745,35.11204887
2022,2022-01-16 20:00,야,일,1,0,0,0,0,경기,남양주시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,화물차,980710,1962041,127.2813023,37.65766663
2022,2022-01-16 21:00,야,일,1,0,0,0,0,충남,천안시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967174,1880317,127.1314527,36.9206385
2022,2022-01-16 22:00,야,일,1,1,0,1,0,경남,김해시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,1127450,1694234,128.9006635,35.23541447
2022,2022-01-17 6:00,주,월,1,0,0,0,0,경기,성남시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,964961,1927109,127.1044178,37.34234261
2022,2022-01-17 6:00,주,월,1,0,0,0,0,광주,북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,942760,1691004,126.8710957,35.21276108
2022,2022-01-17 14:00,주,월,1,0,0,0,0,제주,제주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,913080,1501734,126.5641969,33.50395023
2022,2022-01-17 15:00,주,월,1,1,0,1,0,강원,영월군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,1062177,1928704,128.2020815,37.35529759
2022,2022-01-17 23:00,야,월,1,1,1,0,0,서울,영등포구,차대차,정면충돌,정면충돌,신호위반,단일로,지하차도(도로)내,승용차,승용차,943329,1947824,126.8586174,37.52798246
2022,2022-01-17 23:00,야,월,1,0,0,0,0,인천,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,923496,1941140,126.6348701,37.46630973
2022,2022-01-18 5:00,야,화,2,0,0,0,0,전남,담양군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타,기타,승용차,없음,954124,1692706,126.9958539,35.22869179
2022,2022-01-18 6:00,주,화,1,0,0,0,0,전남,나주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,932461,1675680,126.7592,35.07395205
2022,2022-01-18 15:00,주,화,1,0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,974789,1959601,127.2142587,37.63553055
2022,2022-01-18 16:00,주,화,1,0,0,0,0,대전,대덕구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,이륜차,994018,1818267,127.4333216,36.36181244
2022,2022-01-18 17:00,주,화,1,1,1,0,0,경기,시흥시,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,이륜차,보행자,937111,1938486,126.789047,37.443416
2022,2022-01-18 17:00,주,화,1,1,1,0,0,경기,화성시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,940949,1916455,126.834188,37.24509716
2022,2022-01-18 17:00,주,화,1,1,1,0,0,강원,춘천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,1021937,1987220,127.7494688,37.88454968
2022,2022-01-18 18:00,야,화,1,0,0,0,0,전남,해남군,차대사람,횡단중,횡단중,교차로 통행방법 위반,교차로,교차로부근,승용차,보행자,916326,1596393,126.5901066,34.35783384
2022,2022-01-18 18:00,야,화,1,0,0,0,0,제주,제주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,농기계,919825,1501554,126.6368239,33.50285407
2022,2022-01-19 5:00,야,수,1,0,0,0,0,대구,달서구,차대사람,횡단중,횡단중,기타,교차로,교차로횡단보도내,승용차,보행자,1095824,1762364,128.56122,35.85313536
2022,2022-01-19 7:00,주,수,1,0,0,0,0,인천,부평구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,보행자,929728,1943144,126.7051457,37.48486637
2022,2022-01-19 11:00,주,수,1,3,2,1,0,강원,인제군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,터널안,승용차,화물차,1070213,1991195,128.298821,37.91792978
2022,2022-01-19 12:00,주,수,1,0,0,0,0,전북,군산시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,화물차,승용차,933381,1768096,126.7617072,35.90723275
2022,2022-01-19 18:00,야,수,1,2,1,1,0,강원,강릉시,차대차,추돌,추돌,안전거리 미확보,단일로,기타단일로,화물차,화물차,1114181,1988275,128.7984918,37.8871607
2022,2022-01-19 19:00,야,수,1,1,0,1,0,전남,완도군,차대차,기타,기타,기타,교차로,교차로부근,승용차,승용차,930347,1592497,126.7428776,34.32373946
2022,2022-01-19 20:00,야,수,1,0,0,0,0,경기,이천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,993469,1915366,127.426369,37.23712983
2022,2022-01-20 6:00,주,목,1,1,1,0,0,대구,달서구,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,1089872,1762109,128.495284,35.85140065
2022,2022-01-20 13:00,주,목,1,0,0,0,0,부산,남구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,보행자,1144072,1681670,129.0810843,35.11991455
2022,2022-01-20 17:00,주,목,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,1108910,1691573,128.6966013,35.21361147
2022,2022-01-21 4:00,야,금,2,0,0,0,0,충남,아산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,950499,1865052,126.9452394,36.78230792
2022,2022-01-21 5:00,야,금,1,0,0,0,0,전남,함평군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,910011,1676015,126.5129497,35.07521851
2022,2022-01-21 7:00,주,금,1,0,0,0,0,경기,부천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,938499,1942750,126.8043812,37.48194102
2022,2022-01-21 12:00,주,금,1,5,1,4,0,충북,진천군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,999438,1868092,127.4936993,36.81100614
2022,2022-01-21 18:00,야,금,1,4,0,4,0,충남,당진시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,924754,1878635,126.6553917,36.90304554
2022,2022-01-22 12:00,주,토,1,0,0,0,0,부산,사상구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,없음,1138040,1684671,129.0154099,35.14781112
2022,2022-01-22 13:00,주,토,1,0,0,0,0,서울,구로구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,원동기장치자전거,승용차,946497,1943917,126.8947543,37.49295736
2022,2022-01-22 20:00,야,토,1,0,0,0,0,충남,예산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,927122,1852180,126.6844999,36.66477038
2022,2022-01-22 20:00,야,토,1,0,0,0,0,전남,완도군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,943296,1600510,126.8830948,34.39678887
2022,2022-01-22 23:00,야,토,1,0,0,0,0,충북,청주시,차량단독,전복,전복,안전운전 의무 불이행,기타,기타,승용차,없음,1004454,1862054,127.5498998,36.75656473
2022,2022-01-23 5:00,야,일,1,0,0,0,0,전남,고흥군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,984346,1642984,127.3289066,34.78125657
2022,2022-01-23 6:00,주,일,1,1,0,1,0,인천,중구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,921898,1940068,126.6169151,37.45651449
2022,2022-01-24 6:00,주,월,1,0,0,0,0,충남,서천군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,911167,1795430,126.5124824,36.15187101
2022,2022-01-24 6:00,주,월,1,0,0,0,0,충남,태안군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,농기계,883781,1863157,126.1979406,36.75939349
2022,2022-01-24 8:00,주,월,1,0,0,0,0,부산,남구,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,1145212,1683380,129.0938911,35.13516425
2022,2022-01-24 11:00,주,월,1,0,0,0,0,경남,고성군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,특수차,승용차,1089684,1670085,128.4830645,35.02178059
2022,2022-01-24 13:00,주,월,1,0,0,0,0,경기,고양시,차대사람,기타,기타,기타,교차로,교차로부근,화물차,보행자,946864,1961946,126.8975981,37.65547492
2022,2022-01-24 18:00,야,월,1,0,0,0,0,전남,순천시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,998557,1662808,127.4841943,34.96014135
2022,2022-01-24 18:00,야,월,1,0,0,0,0,경남,합천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1057583,1735185,128.1357939,35.6110894
2022,2022-01-24 19:00,야,월,1,0,0,0,0,경기,성남시,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승용차,965730,1933860,127.1127868,37.40322251
