"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"16","썰매장업","10_39_01_P","5080000","CDFH3301092019000001","2019-07-03","","03","폐업","03","폐업","2019-08-31","","","","","","","경상북도 구미시 양호동 614-10번지 구미시낙동강야외수영장","경상북도 구미시 낙동제방길 200 (양호동)","39193","구미시낙동강야외물놀이장(썰매장)","2019-11-26 16:44:50","U","2019-11-28 02:40:00","","323237.193507905","293867.521412359","썰매장업","사립","Y","","","","","","",
"17","썰매장업","10_39_01_P","5080000","CDFH3301091995000002","1995-12-27","","01","영업/정상","13","영업중","","","","","054-451-8500","","730-050","경상북도 구미시 남통동 253","경상북도 구미시 금오산로 339 (남통동)","39309","금오랜드","2024-07-09 13:46:56","U","2024-07-11 02:40:00","","318445.839664313","291069.775747888","썰매장업","사립","","0","0","0","0","","",
"18","썰매장업","10_39_01_P","5080000","CDFH3301092023000001","2023-01-05","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 양호동 614-1","경상북도 구미시 낙동제방길 200 (양호동)","39193","구미낙동강 야외 눈썰매장","2024-07-09 13:46:13","U","2024-07-11 02:40:00","","323612.172867065","293687.146861725","썰매장업","사립","","0","0","0","0","","",
"19","썰매장업","10_39_01_P","5090000","CDFH3301092003000001","2003-12-23","","03","폐업","03","폐업","2007-07-10","","","","054-638-1711","","750-802","경상북도 영주시 풍기읍 산법리 446번지","경상북도 영주시 풍기읍 소백로 2156","","영주소백산 눈썰매장","2007-07-10 18:04:52","I","2018-08-31 23:59:59","","337260.400584399","377410.875036928","썰매장업","사립","1","","","","","","",
"20","썰매장업","10_39_01_P","5100000","CDFH3301092019000001","2019-01-05","","03","폐업","03","폐업","2021-11-02","","","","054-335-4500","","","경상북도 영천시 고경면 용전리 388","경상북도 영천시 고경면 고도길 38","38904","영천드림랜드","2021-11-03 09:04:57","U","2021-11-05 02:40:00","","380342.119198246","277812.736898596","썰매장업","사립","","0","0","0","0","","",
"21","썰매장업","10_39_01_P","5100000","CDFH3301092022000001","2022-12-27","","03","폐업","03","폐업","2023-05-12","","","","","","","경상북도 영천시 고경면 용전리 388","경상북도 영천시 고경면 고도길 38","38904","영천드림랜드오토캠핑장","2023-05-15 09:11:28","U","2023-05-17 02:40:00","","380342.119198246","277812.736898596","썰매장업","사립","","0","0","0","0","","",
"22","썰매장업","10_39_01_P","5110000","CDFH3301092002000001","2002-12-20","","03","폐업","03","폐업","2024-04-08","","","","536-3686","","742-961","경상북도 상주시 사벌국면 삼덕리 3-2","경상북도 상주시 사벌면 경천로 652-18","37128","경천대랜드눈썰매장","2024-04-08 16:10:09","U","2024-04-10 02:40:00","","311417.994309838","328995.255285484","썰매장업","사립","","0","0","0","0","","",
"23","썰매장업","10_39_01_P","5120000","CDFH3301092022000001","2005-07-07","","01","영업/정상","13","영업중","","","","","054-571-5533","","","경상북도 문경시 문경읍 상초리 355-2 문경새재유스호텔","경상북도 문경시 문경읍 새재로 913-14, 문경그랜드리조트","36919","문경그랜드리조트 사계절썰매장","2023-07-13 15:19:51","U","2023-07-15 02:40:00","","295844.792745754","362620.237762749","썰매장업","사립","","0","0","0","0","","",
"24","썰매장업","10_39_01_P","5130000","CDFH3301092014000001","2014-10-21","","03","폐업","03","폐업","2021-01-11","","","","053-811-1700","","712-882","경상북도 경산시 남천면 금곡리 668-14","경상북도 경산시 남천면 남천로 305-61","38696","경산스파월드","2021-01-11 16:13:14","U","2021-01-13 02:40:00","","356929.17840946","252553.184518251","썰매장업","사립","","","","","","","",
"25","썰매장업","10_39_01_P","5190000","CDFH3301092024000001","2024-01-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 청도군 화양읍 삼신리 772-1","경상북도 청도군 화양읍 이슬미로 319-30","38324","무아마운틴파크","2024-05-22 15:08:47","U","2024-05-24 02:40:00","","355020.68029695","244643.226850855","썰매장업","사립","Y","0","0","0","0","","",
"26","썰매장업","10_39_01_P","5220000","CDFH3301092018000001","2018-12-21","","01","영업/정상","13","영업중","","","","","054-971-9011","","","경상북도 칠곡군 왜관읍 봉계리 474-1번지","경상북도 칠곡군 왜관읍 봉계로 348","39870","클럽아이리스 스노우","2018-12-21 15:22:51","I","2018-12-23 02:20:25","","330957.833036148","278439.427440346","썰매장업","사립","","","","","","","",
"27","썰매장업","10_39_01_P","5220000","CDFH3301092020000001","2020-12-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 칠곡군 가산면 학하리 1206-5","경상북도 칠곡군 가산면 학하들안2길 105","39849","(주)동재가산수피아","2022-12-01 10:54:48","U","2022-12-03 02:40:00","","333657.587806257","288387.902429198","썰매장업","사립","","","","","","","",
"28","썰매장업","10_39_01_P","5240000","CDFH3301092016000001","2016-12-19","","01","영업/정상","13","영업중","","","","","","","","","경상북도 봉화군 봉화읍 내성로1길 51","36238","당구매니아","2016-12-19 11:01:08","I","2018-08-31 23:59:59","","354988.209104375","377937.577437917","썰매장업","사립","","","","","","","",
"29","썰매장업","10_39_01_P","5250000","CDFH3301091994000001","1994-12-22","","01","영업/정상","13","영업중","","","","","054-788-1907","","767-843","경상북도 울진군 온정면 선구리 852","경상북도 울진군 온정면 백암온천로 875","","백암산관광농원눈썰매장","2020-11-19 11:57:07","U","2020-11-21 02:40:00","","408687.824035625","363169.238123019","썰매장업","사립","","","","","","","",
