"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"11","숙박업","03_11_03_P","5020000","5040000-214-2019-00002","2019-05-31","","01","영업/정상","01","영업","","","","","","576.00","791-863","경상북도 포항시 북구 송라면 지경리 407-39","경상북도 포항시 북구 송라면 동해대로3218번길 39","37510","슬로우오션 풀빌라 폔션","2021-03-08 10:52:44","U","2021-03-10 02:40:00","숙박업(생활)","413200.259784767","308282.637237732","숙박업(생활)","3","0","1","3","","","0","8","","","","자가","0","0","N",
"12","숙박업","03_11_03_P","5020000","5030000-214-2019-00005","2019-08-22","","01","영업/정상","01","영업","","","","","","650.88","790-932","경상북도 포항시 남구 장기면 대진리 192-8 , 1~3층","경상북도 포항시 남구 장기면 동해안로 3952-44, 1~3층","37943","더헤이븐 리조트 펜션","2024-10-31 12:02:02","U","2024-11-02 02:40:00","숙박업(생활)","427173.745588295","272552.726138808","숙박업(생활)","3","1","1","3","0","0","0","11","","","","","0","0","N",
"13","숙박업","03_11_03_P","5020000","5040000-201-2019-00002","2019-07-09","","01","영업/정상","01","영업","","","","","054 2610004","632.09","791-944","경상북도 포항시 북구 흥해읍 성곡리 1524","경상북도 포항시 북구 흥해읍 성곡서로18번길 18-16, 2,3층","37561","포항KTX호텔","2023-03-02 11:06:12","U","2023-03-04 02:40:00","일반호텔","410820.506916177","289620.802223365","일반호텔","0","0","2","3","0","0","0","14","","","","","0","0","N",
"14","숙박업","03_11_03_P","5020000","5040000-214-2002-00001","2002-01-31","","01","영업/정상","01","영업","","","","","054 231 8200","626.67","791-802","경상북도 포항시 북구 두호동 679","경상북도 포항시 북구 해안로 101 (두호동)","37708","CF YOUR풀빌라","2023-05-26 17:31:02","U","2023-05-28 02:40:00","숙박업(생활)","414213.160345324","286771.362204967","숙박업(생활)","0","0","4","6","0","0","0","3","","","","","0","0","N",
"15","숙박업","03_11_03_P","5020000","5040000-201-2022-00001","2022-04-07","","01","영업/정상","01","영업","","","","","054 231 3003","1329.36","791-921","경상북도 포항시 북구 청하면 소동리 869 1~3층","경상북도 포항시 북구 청하면 동해대로 2125, 1~3층","37519","퐝퐝카무인텔","2022-04-11 15:49:27","U","2022-04-13 02:40:00","숙박업 기타","410952.169535389","297977.293483034","숙박업 기타","3","0","1","3","0","0","0","16","","","","자가","0","0","N",
"16","숙박업","03_11_03_P","5020000","5040000-201-2024-00004","2024-10-15","","01","영업/정상","01","영업","","","","","","161.30","791-120","경상북도 포항시 북구 항구동 17-18 3층","경상북도 포항시 북구 삼호로 178-1, 3층 (항구동)","37708","럭스(LUXE)","2024-10-15 13:50:28","I","2024-10-17 00:12:34","숙박업 기타","414100.614204729","286394.093994176","숙박업 기타","0","0","3","3","0","0","0","1","","","","","0","0","N",
"17","숙박업","03_11_03_P","5020000","5030000-201-2024-00001","2024-09-03","","01","영업/정상","01","영업","","","","","","644.57","790-838","경상북도 포항시 남구 해도동 34-104 지하 1층~지상 3층","경상북도 포항시 남구 양학천로 198-1, 지하1층~지상3층 (해도동)","37775","트윈모텔","2024-09-03 09:37:03","I","2024-09-05 00:13:04","숙박업 기타","413257.562835457","283405.12008109","숙박업 기타","4","1","3","3","1","1","3","22","","","","","0","0","N",
"18","숙박업","03_11_03_P","5020000","5030000-214-2019-00003","2019-08-05","","01","영업/정상","01","영업","","","","","","590.50","790-932","경상북도 포항시 남구 장기면 대진리 186-3 ,2층","경상북도 포항시 남구 장기면 동해안로 3952-26, 2층","37943","알데아 원(1)","2023-04-14 14:13:54","U","2023-04-16 02:40:00","숙박업(생활)","427084.06248798","272553.988609564","숙박업(생활)","2","2","0","0","0","0","0","10","","","","","0","0","N",
"19","숙박업","03_11_03_P","5020000","5030000-214-2019-00004","2019-08-05","","01","영업/정상","01","영업","","","","","","324.00","790-932","경상북도 포항시 남구 장기면 대진리 193 , 2~3층","경상북도 포항시 남구 장기면 동해안로 3952-35, 2~3층","37943","알데아 투(2)","2023-04-14 14:16:24","U","2023-04-16 02:40:00","숙박업(생활)","427124.312273763","272603.144798536","숙박업(생활)","3","0","2","3","0","0","0","6","","","","","0","0","N",
"20","숙박업","03_11_03_P","5020000","5040000-201-2019-00004","2019-12-02","","01","영업/정상","01","영업","","","","","","200.11","791-818","경상북도 포항시 북구 죽도동 12-133","경상북도 포항시 북구 죽도시장4길 21-12, 1,2층 (죽도동)","37741","오다가다","2024-10-31 15:17:59","U","2024-11-02 02:40:00","숙박업 기타","413333.046051525","284051.007570333","숙박업 기타","0","0","1","2","","","0","14","","","","","0","0","N",
"21","숙박업","03_11_03_P","5020000","5030000-201-2019-00002","2019-11-20","","01","영업/정상","01","영업","","","","","054 282 7000","2654.68","790-310","경상북도 포항시 남구 대잠동 946-11번지 , 1~4층","경상북도 포항시 남구 희망대로659번길 27, 1~4층 (대잠동)","37761","호텔봄","2019-11-22 17:43:27","U","2019-11-24 02:40:00","일반호텔","411509.76780011","281730.912467885","일반호텔","4","0","1","4","","","0","29","","","","","0","0","N",
"22","숙박업","03_11_03_P","5020000","5040000-214-2022-00002","2022-03-14","","01","영업/정상","01","영업","","","","","","821.98","791-923","경상북도 포항시 북구 청하면 용두리 45-4 , 1동 1~3층","경상북도 포항시 북구 청하면 화두길 160, 1동 1~3층","37517","더원유포리아(The 1 Uphoria)풀빌라&애견펜션","2024-07-04 16:44:13","U","2024-07-06 02:40:00","숙박업(생활)","","","숙박업(생활)","3","0","1","3","0","0","0","6","","","","","0","1","N",
"23","숙박업","03_11_03_P","5020000","5040000-214-2022-00001","2022-03-03","","01","영업/정상","01","영업","","","","","054 614 0800","708.90","791-863","경상북도 포항시 북구 송라면 지경리 353 1~2동 2층~4층","경상북도 포항시 북구 송라면 동해대로 3229-24, 1~2동 2~4층","37510","송라오스","2022-05-10 20:53:28","U","2022-05-12 02:40:00","숙박업(생활)","412890.026244841","308405.651189109","숙박업(생활)","4","0","2","4","0","0","6","12","","","","자가","0","0","N",
"24","숙박업","03_11_03_P","5020000","5040000-214-2024-00003","2024-07-22","","01","영업/정상","01","영업","","","","","","579.15","791-280","경상북도 포항시 북구 환호동 157-23 1~3층","경상북도 포항시 북구 해안로445번길 20-15, 1~3층 (환호동)","37598","티베이호스텔","2024-07-22 10:51:12","I","2024-07-24 00:13:47","숙박업(생활)","416738.665714095","288533.932286893","숙박업(생활)","3","0","1","3","0","0","0","6","","","","자가","0","0","N",
"25","숙박업","03_11_03_P","5020000","5040000-201-2024-00001","2024-01-05","","01","영업/정상","01","영업","","","","","054 283 0009","365.37","791-842","경상북도 포항시 북구 죽도동 139-71 1~4층","경상북도 포항시 북구 죽도로20번길 7, 1~4층 (죽도동)","37743","목욕어때_스파모텔","2024-12-24 14:13:36","U","2024-12-27 02:40:00","일반호텔","412903.340080767","284076.384791772","일반호텔","0","0","1","4","0","0","7","5","","","","","0","0","N",
"26","숙박업","03_11_03_P","5020000","5040000-201-2024-00002","2024-01-09","","01","영업/정상","01","영업","","","","","","1125.19","791-061","경상북도 포항시 북구 동빈1가 69-4 3층","경상북도 포항시 북구 해동로 303, 3층 (동빈1가)","37722","호텔 더 채움","2024-05-29 11:36:41","U","2024-06-01 02:40:00","일반호텔","413617.75967855","285479.678142128","일반호텔","7","0","3","3","0","0","0","14","","","","","0","0","N",
"27","숙박업","03_11_03_P","5020000","5040000-201-2020-00001","2020-01-03","","01","영업/정상","01","영업","","","","","054 2414366","1951.94","791-061","경상북도 포항시 북구 동빈1가 60-6","경상북도 포항시 북구 해동로 323 (동빈1가)","37722","에이원(A1)호텔동빈","2024-05-29 11:35:19","U","2024-06-01 02:40:00","일반호텔","413647.251732482","285674.205995678","일반호텔","0","0","2","4","0","0","0","29","","","","","0","0","N",
"28","숙박업","03_11_03_P","5020000","5040000-214-2020-00001","2020-02-12","","01","영업/정상","01","영업","","","","","","116.02","791-120","경상북도 포항시 북구 항구동 17-111 3층","경상북도 포항시 북구 해안로 67-1, 3층 (항구동)","37708","세오","2024-12-07 17:32:47","U","2024-12-09 02:40:00","숙박업(생활)","414119.748836106","286431.911134577","숙박업(생활)","0","0","3","3","","","2","0","","","","","0","0","N",
"29","숙박업","03_11_03_P","5020000","5030000-201-2020-00001","2020-03-11","","01","영업/정상","01","영업","","","","","054 274 9123","668.56","790-828","경상북도 포항시 남구 상도동 584-8","경상북도 포항시 남구 중흥로61번길 16-2 (상도동)","37761","빈하우스","2024-11-01 14:49:08","U","2024-11-03 02:40:00","숙박업 기타","411578.914810565","281623.808401339","숙박업 기타","5","1","1","4","1","1","0","23","","","","","0","0","N",
"30","숙박업","03_11_03_P","5020000","5040000-201-2020-00002","2020-03-11","","01","영업/정상","01","영업","","","","","","599.10","791-921","경상북도 포항시 북구 청하면 미남리 803","경상북도 포항시 북구 청하면 동해대로2532번길 10","37516","호텔약속(Hotel약속)","2024-12-08 12:21:19","U","2024-12-10 02:40:00","일반호텔","411461.227112153","301671.816061645","일반호텔","0","0","1","3","0","0","0","12","","","","","0","0","N",
"31","숙박업","03_11_03_P","5020000","5030000-214-2022-00002","2022-01-04","","01","영업/정상","01","영업","","","","","","593.54","790-932","경상북도 포항시 남구 장기면 대진리 143-15","경상북도 포항시 남구 장기면 동해안로3936번길 25-4, A동 1~3층","37943","데이토나 펜션","2023-10-26 15:18:58","U","2023-10-28 02:40:00","숙박업(생활)","","","숙박업(생활)","3","0","1","3","0","0","0","9","","","","","0","0","N",
"32","숙박업","03_11_03_P","5020000","5030000-214-2022-00003","2022-01-04","","01","영업/정상","01","영업","","","","","","470.88","790-932","경상북도 포항시 남구 장기면 대진리 143-2 B동","경상북도 포항시 남구 장기면 동해안로3936번길 25-6, B동 2~3층","37943","데이토나풀빌라","2023-10-26 14:17:00","U","2023-10-28 02:40:00","숙박업(생활)","427184.366694987","272368.739228778","숙박업(생활)","3","0","2","3","0","0","0","4","","","","","0","0","N",
"33","숙박업","03_11_03_P","5020000","5030000-214-2022-00001","2022-01-04","","01","영업/정상","01","영업","","","","","","439.46","790-932","경상북도 포항시 남구 장기면 대진리 143-18 A동 1,2층","경상북도 포항시 남구 장기면 동해안로3936번길 25-8, A동 1,2층","37943","데이토나","2023-10-12 13:48:31","U","2023-10-14 02:40:00","숙박업(생활)","","","숙박업(생활)","3","0","1","2","0","0","0","8","","","","","0","0","N",
"34","숙박업","03_11_03_P","5020000","5030000-214-2023-00001","2023-04-19","","01","영업/정상","01","영업","","","","","","148.68","790-901","경상북도 포항시 남구 오천읍 항사리 90-13 외 1필지, 1층","경상북도 포항시 남구 오천읍 오어로154번길 19-10, 1층","37895","항사리91C","2023-04-19 15:31:45","I","2023-04-23 00:20:19","숙박업(생활)","415066.719696082","272360.139799318","숙박업(생활)","0","0","1","1","0","0","0","2","","","","","0","0","N",
"35","숙박업","03_11_03_P","5020000","5030000-214-2023-00002","2023-05-19","","01","영업/정상","01","영업","","","","","","1945.74","790-932","경상북도 포항시 남구 장기면 영암리 149-1","경상북도 포항시 남구 장기면 영암길 14","37945","마담아네뜨","2024-09-04 14:16:42","U","2024-09-06 02:40:00","숙박업(생활)","428008.835381392","270154.713161575","숙박업(생활)","0","0","1","4","0","0","0","20","","","","","0","0","N",
"36","숙박업","03_11_03_P","5020000","5030000-214-2023-00003","2023-05-23","","01","영업/정상","01","영업","","","","","","974.24","790-811","경상북도 포항시 남구 호미곶면 강사리 124 1층~4층","경상북도 포항시 남구 호미곶면 일출로 606-20, 1층~4층","37929","딥스온","2024-04-04 17:29:18","U","2024-04-06 02:40:00","숙박업(생활)","432452.896834384","285544.857135866","숙박업(생활)","4","0","1","4","0","0","0","6","","","","","0","0","N",
"37","숙박업","03_11_03_P","5020000","5030000-214-2024-00001","2024-04-19","","01","영업/정상","01","영업","","","","","","157.26","790-932","경상북도 포항시 남구 장기면 영암리 359-5 1층","경상북도 포항시 남구 장기면 영암길 92-5, 1층","37945","레드하우스","2024-07-09 11:16:36","U","2024-07-11 02:40:00","숙박업(생활)","427849.899772991","270892.239862133","숙박업(생활)","1","0","1","0","0","0","0","1","","","","","0","0","N",
"38","숙박업","03_11_03_P","5020000","5040000-214-2024-00002","2024-03-25","","01","영업/정상","01","영업","","","","","","506.24","791-090","경상북도 포항시 북구 상원동 509 2~3층","경상북도 포항시 북구 중앙상가3길 19-7, 2~3층 (상원동)","37737","블루하우스","2024-03-25 15:36:03","I","2024-03-27 00:15:31","숙박업(생활)","413046.023583425","284480.699509788","숙박업(생활)","0","0","0","0","0","0","0","14","","","","","0","0","N",
"39","숙박업","03_11_03_P","5020000","5030000-201-1998-00007","1998-12-02","","01","영업/정상","01","영업","","","","","054 2720580","157.12","790-839","경상북도 포항시 남구 해도동 493-33","경상북도 포항시 남구 상공로 233 (해도동)","37796","성림장","2021-03-26 10:35:02","U","2021-03-28 02:40:00","여관업","413678.218666978","282904.225775975","여관업","2","0","1","2","0","0","11","0","","","","자가","","","N",
"40","숙박업","03_11_03_P","5020000","5030000-201-2003-00020","2003-12-17","","01","영업/정상","01","영업","","","","","054 2783220","1214.19","790-826","경상북도 포항시 남구 대잠동 946-7","경상북도 포항시 남구 새천년대로422번길 19 (대잠동)","37761","호텔 리제나","2024-08-30 13:33:46","U","2024-09-01 02:40:00","여관업","411447.511116946","281693.172149775","여관업","5","1","1","5","0","0","1","34","","","","자가","0","0","N",
"41","숙박업","03_11_03_P","5020000","5040000-201-2012-00004","2012-10-17","","01","영업/정상","01","영업","","","","","054 252 0008","594.28","791-921","경상북도 포항시 북구 청하면 청진리 147-1 2층~3층","경상북도 포항시 북구 청하면 해안로1958번길 3, 2~3층","37518","민들레모텔","2021-07-30 13:20:50","U","2021-08-01 02:40:00","여관업","415202.161135556","299935.836569836","여관업","3","0","2","3","0","0","0","13","","","","자가","","","N",
"42","숙박업","03_11_03_P","5020000","5040000-201-1993-00001","1993-12-24","","01","영업/정상","01","영업","","","","","054 2744300","0.00","791-841","경상북도 포항시 북구 죽도동 52-14번지","경상북도 포항시 북구 죽도로40번길 37 (죽도동)","37745","모텔봄날","2018-03-14 17:24:39","I","2018-08-31 23:59:59","여관업","412943.417444836","283685.995015776","여관업","0","0","0","0","0","0","12","12","","","","","","","N",
"43","숙박업","03_11_03_P","5020000","5040000-201-1998-00013","1998-11-03","","01","영업/정상","01","영업","","","","","054 2724889","0.00","791-845","경상북도 포항시 북구 죽도동 675-31","경상북도 포항시 북구 중흥로139번길 7 (죽도동)","37757","카스모텔","2023-03-27 11:21:27","U","2023-03-29 02:40:00","여관업","412028.627015882","282213.986584691","여관업","0","0","0","0","0","0","3","21","","","","","0","0","N",
"44","숙박업","03_11_03_P","5020000","5040000-201-2015-00005","2015-11-26","","01","영업/정상","01","영업","","","","","054 249 3900","2076.52","791-270","경상북도 포항시 북구 양덕동 1251번지","경상북도 포항시 북구 장량로139번길 10, 1,2,3,4층 (양덕동)","37587","아로니아모텔","2018-03-14 17:29:03","I","2018-08-31 23:59:59","여관업","415731.399173926","289564.371530683","여관업","0","0","1","4","0","0","0","22","","","","","0","0","N",
"45","숙박업","03_11_03_P","5020000","5040000-201-1996-00003","1996-10-11","","01","영업/정상","01","영업","","","","","054 2622678","0.00","791-921","경상북도 포항시 북구 청하면 청진리 79","경상북도 포항시 북구 청하면 해안로 1992","37518","청진모텔","2024-12-08 12:31:03","U","2024-12-10 02:40:00","여관업","415026.880109202","300194.778293148","여관업","0","0","0","0","0","0","8","8","","","","","","","N",
"46","숙박업","03_11_03_P","5020000","5030000-201-1988-00004","1988-01-05","","01","영업/정상","01","영업","","","","","054 273 7223","617.86","790-821","경상북도 포항시 남구 대도동 20-12","경상북도 포항시 남구 양학천로150번길 4 (대도동)","37777","딜라이트 비즈니스 호텔","2024-09-10 14:47:39","U","2024-09-12 02:40:00","숙박업 기타","412826.944473203","283245.152118489","숙박업 기타","3","0","1","3","0","0","24","0","","","","임대","0","0","N",
"47","숙박업","03_11_03_P","5020000","5030000-201-2013-00004","2013-08-09","","01","영업/정상","01","영업","","","","","054 291 0060","1347.93","790-902","경상북도 포항시 남구 오천읍 문덕리 313-1","경상북도 포항시 남구 오천읍 문덕로24번길 3","37887","자자모텔","2024-10-16 15:38:03","U","2024-10-18 02:40:00","숙박업 기타","416674.86645306","276002.901487125","숙박업 기타","2","0","1","2","0","0","0","22","","","","","","","N",
"48","숙박업","03_11_03_P","5020000","5040000-201-2016-00001","2016-02-01","","01","영업/정상","01","영업","","","","","054 276 9782","645.49","791-921","경상북도 포항시 북구 청하면 미남리 798-1번지","경상북도 포항시 북구 청하면 동해대로 2534-22, 1,2,3층","37516","콜모텔","2020-01-07 11:37:56","U","2020-01-09 02:40:00","여관업","411463.846208164","301718.36782265","여관업","0","0","1","3","0","0","0","14","","","","","0","0","N",
"49","숙박업","03_11_03_P","5020000","5030000-201-2011-00007","2011-12-28","","01","영업/정상","01","영업","","","","","054 281 8858","598.26","790-826","경상북도 포항시 남구 대잠동 942-25 (1~4층)","경상북도 포항시 남구 새천년대로422번길 9 (대잠동)","37761","루트(ROUTE)422","2022-09-01 11:20:55","U","2022-09-03 02:40:00","여관업","411354.318491606","281744.867948965","여관업","4","0","1","4","0","0","3","18","","","","자가","0","0","N",
"50","숙박업","03_11_03_P","5020000","5030000-201-2011-00003","2011-08-17","","01","영업/정상","01","영업","","","","","054 291 0073","786.61","790-902","경상북도 포항시 남구 오천읍 문덕리 315-9 (1,2,3)층","경상북도 포항시 남구 오천읍 문덕로23번길 6-5 ((1,2,3)층)","37888","헤리티지","2023-07-19 16:23:43","U","2023-07-21 02:40:00","여관업","416787.558987139","275977.827676487","여관업","3","0","1","3","0","0","0","10","","","","자가","","","N",
"51","숙박업","03_11_03_P","5020000","5040000-201-1978-00002","1978-07-19","","01","영업/정상","01","영업","","","","","054  2530071","0.00","791-100","경상북도 포항시 북구 대신동 62-1번지","경상북도 포항시 북구 삼호로 73 (대신동)","37724","영일대게스트하우스","2019-03-18 14:08:50","U","2019-03-20 02:40:00","숙박업 기타","413502.624998941","285552.094189074","숙박업 기타","0","0","0","0","0","0","6","7","","","","","","","N",
"52","숙박업","03_11_03_P","5020000","5030000-201-2009-00001","2009-03-26","","01","영업/정상","01","영업","","","","","054 282 9695","506.70","790-863","경상북도 포항시 남구 해도동 207-13번지","경상북도 포항시 남구 문예로82번길 35 (해도동)","37822","숲속으로","2019-02-14 11:49:25","U","2019-02-16 02:40:00","여관업","413445.754445221","281767.905448554","여관업","2","0","2","2","0","0","0","12","","","","자가","","","N",
"53","숙박업","03_11_03_P","5020000","5030000-201-2015-00002","2015-09-25","","01","영업/정상","01","영업","","","","","054 293 6969","1366.40","790-911","경상북도 포항시 남구 오천읍 원리 1109번지","경상북도 포항시 남구 오천읍 하원로47번길 14-8","37880","발트(VALT)","2018-08-06 17:37:29","I","2018-08-31 23:59:59","여관업","416707.838558451","277646.257844969","여관업","4","0","1","4","0","0","0","20","","","","","0","0","N",
"54","숙박업","03_11_03_P","5020000","5040000-201-2002-00007","2002-07-02","","01","영업/정상","01","영업","","","","","054 2525088","1060.78","791-062","경상북도 포항시 북구 동빈2가 143-5","경상북도 포항시 북구 칠성로65번길 7 (동빈2가)","37738","모텔유토피아","2022-08-31 14:45:14","U","2022-09-03 02:40:00","여관업","413451.487670921","284531.470345872","여관업","5","0","5","0","0","0","5","30","","","","","","","N",
"55","숙박업","03_11_03_P","5020000","5030000-201-2003-00021","2003-12-20","","01","영업/정상","01","영업","","","","","054 282 9070","453.81","790-863","경상북도 포항시 남구 해도동 170-8번지 2,3층","경상북도 포항시 남구 중앙로 8, 2,3층 (해도동)","37811","모모장여관","2019-07-12 11:49:31","U","2019-07-14 02:40:00","여관업","413708.060772641","281889.070273689","여관업","4","1","2","3","0","0","5","11","","","","자가","","","N",
"56","숙박업","03_11_03_P","5020000","5030000-201-2003-00004","2003-05-22","","01","영업/정상","01","영업","","","","","054 2813346","1643.06","790-828","경상북도 포항시 남구 상도동 586-8번지","경상북도 포항시 남구 중흥로 67-1 (상도동)","37761","월드컵비지니스텔","2017-12-06 15:08:17","I","2018-08-31 23:59:59","여관업","411707.681974119","281613.694590583","여관업","6","1","1","6","0","0","0","40","","","","자가","","","N",
"57","숙박업","03_11_03_P","5020000","5040000-201-2003-00013","2003-07-19","","01","영업/정상","01","영업","","","","","054 262 7600","951.42","791-862","경상북도 포항시 북구 송라면 중산리 607-1","경상북도 포항시 북구 송라면 보경로 516","37509","내연산 온천호텔","2024-06-18 09:32:57","U","2024-06-20 02:40:00","여관업","408421.981868559","308036.500562039","여관업","2","1","1","2","0","0","14","14","","","","자가","0","0","N",
"58","숙박업","03_11_03_P","5020000","5040000-201-2003-00035","2003-12-06","","01","영업/정상","01","영업","","","","","054 2741551","893.63","791-845","경상북도 포항시 북구 죽도동 703-12","경상북도 포항시 북구 중흥로125번길 2 (죽도동)","37758","로토스모텔","2021-03-08 11:28:08","U","2021-03-10 02:40:00","여관업","411994.16305381","282094.803749286","여관업","6","0","1","6","0","0","1","27","","","","","","","N",
"59","숙박업","03_11_03_P","5020000","5040000-201-1996-00005","1996-07-05","","01","영업/정상","01","영업","","","","","054 2622805","0.00","791-863","경상북도 포항시 북구 송라면 지경리 194-6","경상북도 포항시 북구 송라면 동해대로3378번길 3","37510","ABC호텔","2024-12-07 16:17:27","U","2024-12-09 02:40:00","일반호텔","413313.800228723","309717.279521844","일반호텔","0","0","0","0","0","0","4","23","","","","","0","0","N",
"60","숙박업","03_11_03_P","5020000","5040000-201-2016-00003","2016-03-25","","01","영업/정상","01","영업","","","","","054252 1222","729.72","791-851","경상북도 포항시 북구 장성동 1413-8","경상북도 포항시 북구 장량로113번길 6-5, 1,2,3층 (장성동)","37587","2타임모텔","2022-11-30 15:10:26","U","2022-12-02 02:40:00","여관업","415507.658446618","289549.912712363","여관업","0","0","1","3","0","0","0","11","","","","자가","0","0","N",
