"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"13","관광숙박업","03_11_01_P","5020000","CDFI2260032005000002","2005-10-27","","01","영업/정상","13","영업중","","","","","054-282-4427","","","경상북도 포항시 남구 해도동 416-6","경상북도 포항시 남구 중앙로 128 (해도동)","37789","베니키아 호텔 포항","2024-10-14 18:25:17","U","2024-10-16 02:40:00","","413442.557978329","283055.130201044","관광숙박업","관광사업","근린상업지역","8","주택가주변","","","호텔","7","1","80","0","BENIKEA HOTEL POHANG","TOURIST ACCOMMODATION (TOURIST HOTEL)","0","0","","0","0","","0","3832.09","","0","","","","","","","0","","","","3832","관광호텔업",
"14","관광숙박업","03_11_01_P","5020000","CDFI2260032011000001","2011-08-22","","01","영업/정상","13","영업중","","","","","260-7000/260-7063","","791-862","경상북도 포항시 북구 송라면 화진리 872-1","경상북도 포항시 북구 송라면 대전길 7","37510","오션힐스 골프 & 리조트","2023-11-02 11:04:42","U","2023-11-04 02:40:00","","411959.901723844","307334.096335002","관광숙박업","","관리지역","11","기타","","","콘도미니엄","10","1","54","0","","","0","0","","0","0","","0","4730.7","","0","","","","","","","600000000","","","","4731","휴양콘도미니엄업",
"15","관광숙박업","03_11_01_P","5020000","CDFI2260032015000001","2015-02-17","","01","영업/정상","13","영업중","","","","","","","791-062","경상북도 포항시 북구 동빈2가 144-8","경상북도 포항시 북구 해동로 211-1 (동빈2가)","37738","동빈나루 게스트하우스","2023-11-02 09:02:48","U","2023-11-04 02:40:00","","413485.126182397","284562.197009973","관광숙박업","","일반상업지역","3","","","신협재난배상책임공제","숙박시설","3","0","2","0","","","0","0","","0","0","","0","53","","0","","","","","","","0","","","","53","호스텔업",
"16","관광숙박업","03_11_01_P","5020000","CDFI2260032015000003","2015-06-04","","01","영업/정상","13","영업중","","","","","054-230-7031","","791-802","경상북도 포항시 북구 두호동 367","경상북도 포항시 북구 삼호로265번길 1 (두호동)","37625","라한호텔 포항","2025-02-21 09:50:20","U","2025-02-23 02:40:00","","414340.433075022","287180.594980994","관광숙박업","","일반상업지역","19","","","","숙박시설","16","3","160","0","LAHAN HOTEL POHANG","Tourist accommdation (Tourist Hotel)","0","0","","0","0","","0","25064.8","","0","","","","","","","0","","","","25065","관광호텔업",
"17","관광숙박업","03_11_01_P","5020000","CDFI2260032015000005","2015-12-18","","01","영업/정상","13","영업중","","","","","054-242-3355","","","경상북도 포항시 북구 두호동 693","경상북도 포항시 북구 해안로 89 (두호동)","37708","윈호텔","2024-10-14 18:29:35","U","2024-10-16 02:40:00","","414171.414828731","286652.148204072","관광숙박업","","일반상업지역","10","","","삼성화재해상보험주식회사","숙박시설","9","1","53","0","","","0","0","","0","0","","0","2360.72","","0","","","","","","","0","","","","2361","관광호텔업",
"18","관광숙박업","03_11_01_P","5020000","CDFI2260032016000001","2016-06-20","","01","영업/정상","13","영업중","","","","","054-254-2045","","","경상북도 포항시 북구 대신동","경상북도 포항시 북구 삼호로 73 (대신동)","37724","영일대 게스트하우스","2023-11-02 09:32:14","U","2023-11-04 02:40:00","","413502.624998941","285552.094189074","관광숙박업","","일반상업지역","3","","","DB손해보험주식회사","","3","1","11","0","","","0","0","","0","0","","0","606.71","","0","","","","","","","0","","","","607","호스텔업",
"19","관광숙박업","03_11_01_P","5020000","CDFI2260032017000002","2017-07-18","","01","영업/정상","13","영업중","","","","","054 256 0055","","","경상북도 포항시 북구 두호동 668","경상북도 포항시 북구 해안로 91 (두호동)","37708","호텔뷰","2024-10-14 18:30:33","U","2024-10-16 02:40:00","","414170.245370414","286665.901093591","관광숙박업","","상업지역","10","기타","","","","10","0","42","0","","","0","0","","0","0","","0","3278.17","","0","","","","","","","0","","","","3278","관광호텔업",
"20","관광숙박업","03_11_01_P","5020000","CDFI2260032021000001","2021-03-18","","01","영업/정상","13","영업중","","","","","054-272-0009","","","경상북도 포항시 남구 대잠동 964-2","경상북도 포항시 남구 희망대로659번길 20 (대잠동)","37761","노블리온호텔","2024-10-14 18:28:16","U","2024-10-16 02:40:00","","411518.9990721","281663.963843767","관광숙박업","","","0","","","","","0","0","42","0","","","0","0","","0","0","","0","0","","0","","","","","","","1500000000","","","","0","관광호텔업",
"21","관광숙박업","03_11_01_P","5020000","CDFI2260032025000001","2025-01-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 환호동 2-12","경상북도 포항시 북구 여남포길21번길 15-8, 3층 (환호동)","37598","에스피에스타","2025-01-17 10:00:46","I","2025-01-19 00:11:35","","416737.768276361","288560.472402895","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"22","관광숙박업","03_11_01_P","5020000","CDFI2260032015000002","2015-03-05","2017-06-07","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","790-826","경상북도 포항시 남구 대잠동 780-177번지","경상북도 포항시 남구 행복길75번길 11 (대잠동)","37662","영일대호텔","2017-06-15 17:20:09","I","2018-08-31 23:59:59","","410402.140540467","281868.211429299","관광숙박업","","자연녹지지역","3","기타","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","소형호텔업",
"23","관광숙박업","03_11_01_P","5050000","CDFI2260031983000001","1983-08-16","","02","휴업","02","휴업","","2024-03-01","2027-02-28","","777-2780","","780-290","경상북도 경주시 신평동 601-8","경상북도 경주시 보문로 353 (신평동)","38116","(주)이랜드파크 한국콘도 경주보문","2024-05-16 15:54:05","U","2024-05-18 02:40:00","","405921.388137326","263399.426921109","관광숙박업","","","","","","","","","","","","E-Land Leisurevice Hangookcondo Inc. Gyeongju Bo-Moon Branch","Tourist Accomodations(Tourist Condominiums)","","","","","","","","","","","","","","","","","","","","","","휴양콘도미니엄업",
"24","관광숙박업","03_11_01_P","5050000","CDFI2260031988000001","1988-06-22","","02","휴업","02","휴업","","2024-10-01","2025-09-30","","054-746-6661","","780-420","경상북도 경주시 구정동 145-1","경상북도 경주시 불국로 61 (구정동)","780-420","그랜드 호텔 경주","2024-09-19 14:11:52","U","2024-09-21 02:40:00","","407971.117098975","255902.352248023","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"25","관광숙박업","03_11_01_P","5050000","CDFI2260031997000001","1998-12-12","","02","휴업","02","휴업","","2024-02-07","2025-02-06","","0507-1424-5522","","","경상북도 경주시 신평동 452-1 경주조선온천호텔","경상북도 경주시 보문로 407, 경주조선온천호텔 (신평동)","38116","경주조선온천호텔","2024-07-31 11:57:37","U","2024-08-02 02:40:00","","406371.79518767","263157.990882388","관광숙박업","관광사업","","6","","","","","5","1","0","0","Gyeongju Chosun Spa Hotel","Tourist Accommodations(Tourist Hotels)","0","0","","0","0","","0","14134.49","","0","","","","","","","0","","","","14134","관광호텔업",
"26","관광숙박업","03_11_01_P","5050000","CDFI2260032006000002","2006-04-25","","02","휴업","02","휴업","","2024-09-02","2025-09-30","","1588-4888","","","경상북도 경주시 신평동 400-1 소노벨","경상북도 경주시 보문로 402-12, 대명리조트 (신평동)","38117","소노벨 경주","2024-12-18 11:16:15","U","2024-12-20 02:40:00","","406118.323266086","263079.41944442","관광숙박업","관광사업","","14","","","","콘도미니엄","12","2","417","0","","","0","0","","0","0","","0","53394.59","","0","","","","","","","5000000000","","","","53395","휴양콘도미니엄업",
"27","관광숙박업","03_11_01_P","5050000","CDFI2260032004000001","2004-11-26","","03","폐업","03","폐업","2012-12-27","","","","","","780-932","경상북도 경주시 노서동 130-6번지","","","(주)관광호텔벨루스","2012-12-27 14:52:20","I","2018-08-31 23:59:59","","399158.111728533","262438.224549841","관광숙박업","관광사업","","","","","","","1","4","","","","","","","","","","","","2018.93","","","","","","","","","","","","","2019","",
"28","관광숙박업","03_11_01_P","5050000","CDFI2260032004000002","2004-07-30","","03","폐업","03","폐업","2012-07-03","","","","054-744-5500","","","경상북도 경주시 외동읍 괘릉리 1233 경주토비스콘도","경상북도 경주시 외동읍 영지로 636, 경주토비스콘도","38203","(주)토비스지앤지","2021-11-11 13:30:58","U","2021-11-13 02:40:00","","408757.414379558","253912.377872526","관광숙박업","관광사업","","8","","","","","7","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","80000000000","","","","0","",
"29","관광숙박업","03_11_01_P","5050000","CDFI2260031990000001","1990-07-19","","03","폐업","03","폐업","2018-10-24","","","","054-745-7123","","780-290","경상북도 경주시 신평동 645번지","경상북도 경주시 보문로 371 (신평동)","38116","주식회사 더스타일하우스","2018-10-24 18:19:02","U","2018-10-26 02:36:00","","406138.580830785","263309.1870922","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"30","관광숙박업","03_11_01_P","5050000","CDFI2260032001000001","2001-06-04","","03","폐업","03","폐업","2016-08-02","","","","054-745-7000","","780-290","경상북도 경주시 신평동 410번지","경상북도 경주시 보문로 404 (신평동)","38117","콩코드호텔","2016-08-18 16:44:26","I","2018-08-31 23:59:59","","406283.87171181","262954.63348393","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"31","관광숙박업","03_11_01_P","5050000","CDFI2260032008000001","2008-11-06","","03","폐업","03","폐업","2024-10-18","","","","054-778-5301","","780-280","경상북도 경주시 북군동 110-9","경상북도 경주시 보문로 280-12 (북군동)","38117","(주)교원프라퍼티 키녹","2024-10-28 09:10:00","U","2024-10-30 02:40:00","","405679.37027616","263931.396403666","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"32","관광숙박업","03_11_01_P","5050000","CDFI2260032020000002","2020-07-16","","03","폐업","03","폐업","2023-02-07","","","","054-776-7527","","","경상북도 경주시 감포읍 오류리 309-7","경상북도 경주시 감포읍 감포로 344","38125","더-영 호스텔","2023-08-24 14:08:34","U","2023-08-26 02:40:00","","426857.110565393","260444.284908732","관광숙박업","","","","","","","","","","","","","","","","","","","","","860.85","","","","","","","","","","","","","861","호스텔업",
"33","관광숙박업","03_11_01_P","5050000","CDFI2260032020000003","2020-12-28","","03","폐업","03","폐업","2023-02-07","","","","054-776-7527","","","경상북도 경주시 감포읍 오류리 309-4","경상북도 경주시 감포읍 감포로 348, 2층","38125","더-영 호스텔 Ⅱ","2023-08-24 14:08:47","U","2023-08-26 02:40:00","","426847.406946354","260469.87220994","관광숙박업","","일반주거지역","","주택가주변","","","호텔","","","","","","","","","","","","","","435.51","","","","","","","","","100000000","","","","436","호스텔업",
"34","관광숙박업","03_11_01_P","5050000","CDFI2260032023000002","2023-07-24","","01","영업/정상","13","영업중","","","","","0547012388","","","경상북도 경주시 감포읍 오류리 566-1","경상북도 경주시 감포읍 감포로 250","38125","경주 에스앤비 풀빌라 호스텔","2024-11-25 15:43:16","U","2024-11-27 02:40:00","","426783.560147995","259593.019168889","관광숙박업","","일반주거지역","5","","","","숙박시설","4","1","8","0","","","0","0","","0","0","","0","1042.02","","0","","","","","","","3000000000","","","","1042","호스텔업",
"35","관광숙박업","03_11_01_P","5050000","CDFI2260032002000001","1995-07-01","","01","영업/정상","13","영업중","","","","","054-745-8100","","780-290","경상북도 경주시 신평동 150-2","경상북도 경주시 엑스포로 45 (신평동)","38116","더케이호텔경주","2024-07-31 10:35:32","U","2024-08-02 02:40:00","","406974.008886349","262180.620188077","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"36","관광숙박업","03_11_01_P","5050000","CDFI2260032003000001","2003-08-15","","01","영업/정상","13","영업중","","","","","1600-8668","","780-843","경상북도 경주시 양남면 신대리 1265","경상북도 경주시 양남면 동남로 1021","780-843","마우나오션 콘도미니엄","2024-07-31 10:36:16","U","2024-08-02 02:40:00","","414395.629522232","245291.2743122","관광숙박업","관광사업","","6","","","","콘도미니엄","6","0","204","21090","","","0","0","","0","0","","0","21090.3","","0","","","","","","","0","","","","21090","휴양콘도미니엄업",
"37","관광숙박업","03_11_01_P","5050000","CDFI2260032003000002","2003-12-24","","01","영업/정상","13","영업중","","","","","054-744-1199","","","경상북도 경주시 신평동 601-19 일성경주보문콘도","경상북도 경주시 보문로 365, 일성경주보문콘도 (신평동)","38116","일성보문콘도미니엄","2024-07-31 10:47:43","U","2024-08-02 02:40:00","","406006.834843913","263329.635881051","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
"38","관광숙박업","03_11_01_P","5050000","CDFI2260031978000001","1978-09-12","","01","영업/정상","13","영업중","","","","","054-746-9001","","","경상북도 경주시 마동 111-1","경상북도 경주시 불국로 289-17, 코오롱호텔 (마동)","38126","코오롱호텔","2024-07-31 10:31:57","U","2024-08-02 02:40:00","","409841.988770145","256679.798847849","관광숙박업","관광사업","","0","","","","","0","0","305","0","Kolon Hotel Mauna Ocean Development Co. Ltd","Tourist Accommodations(Tourist Hotels)","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"39","관광숙박업","03_11_01_P","5050000","CDFI2260031991000001","1991-04-19","","01","영업/정상","13","영업중","","","","","054-745-7788","","","경상북도 경주시 신평동 370 경주힐튼호텔/우양미술관","경상북도 경주시 보문로 484-7, 경주힐튼호텔/우양미술관 (신평동)","38117","힐튼호텔 경주","2024-07-31 10:32:40","U","2024-08-02 02:40:00","","406465.878338666","262473.494405346","관광숙박업","관광사업","","0","","","","","0","0","330","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"40","관광숙박업","03_11_01_P","5050000","CDFI2260031992000001","1992-07-03","","01","영업/정상","13","영업중","","","","","054-748-2233","","780-290","경상북도 경주시 신평동 477-2","경상북도 경주시 보문로 338 (신평동)","38117","주식회사 라한호텔(경주)","2025-02-14 18:12:58","U","2025-02-16 02:40:00","","405637.817167632","263521.411175221","관광숙박업","","","0","","","","숙박시설","0","0","430","8912","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"41","관광숙박업","03_11_01_P","5050000","CDFI2260031995000001","1995-02-16","","01","영업/정상","13","영업중","","","","","054-748-8400","","780-280","경상북도 경주시 북군동 11-1","경상북도 경주시 보문로 182-29 (북군동)","38116","(주)이랜드파크 켄싱턴리조트 경주","2024-07-31 10:33:34","U","2024-08-02 02:40:00","","404841.798099653","264595.723082789","관광숙박업","관광사업","","0","","","","","0","0","0","0","E-Land Leisurvice Co. Ltd Kensington Resort Gyeongju","Tourist Accommodations(Tourist Condominiums)","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
"42","관광숙박업","03_11_01_P","5050000","CDFI2260031998000001","1998-12-30","","01","영업/정상","13","영업중","","","","","054-748-4848","","","경상북도 경주시 신평동 242-19","경상북도 경주시 보문로 465-37 (신평동)","38116","베니키아 스위스로젠 호텔","2024-11-07 09:08:28","U","2024-11-09 02:40:00","","407057.244474441","262465.022147462","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"43","관광숙박업","03_11_01_P","5050000","CDFI2260032004000003","2011-10-13","","01","영업/정상","13","영업중","","","","","054-701-0090","","","경상북도 경주시 노서동 170-1","경상북도 경주시 태종로699번길 3, 경주지지관광호텔 (노서동)","38157","경주지지관광호텔","2025-02-14 18:13:12","U","2025-02-16 02:40:00","","399106.474227057","262107.235004903","관광숙박업","관광사업","준주거지역","6","학교정화(상대)","","","호텔","5","1","53","4641","","","0","0","","0","0","","0","4641.17","","0","","","","","","","0","","","","4641","관광호텔업",
"44","관광숙박업","03_11_01_P","5050000","CDFI2260032006000001","1996-03-30","","01","영업/정상","13","영업중","","","","","054-777-8900","","","경상북도 경주시 북군동 30-3 경주한화리조트","경상북도 경주시 보문로 182-27, 경주한화리조트 (북군동)","38116","한화호텔앤드리조트(주) 경주휴양콘도미니엄","2025-01-09 13:15:50","U","2025-01-11 02:40:00","","404996.63904875","264534.014071404","관광숙박업","관광사업","","8","","","","콘도미니엄","8","0","0","0","","","0","0","","0","0","","0","28444.26","","0","","","","","","","0","","","","28444","휴양콘도미니엄업",
"45","관광숙박업","03_11_01_P","5050000","CDFI2260032007000001","1979-03-10","","01","영업/정상","13","영업중","","","","","054-740-8100","","780-290","경상북도 경주시 신평동 410-2","경상북도 경주시 보문로 422 (신평동)","38117","코모도호텔 경주","2024-07-31 10:54:18","U","2024-08-02 02:40:00","","406380.199054323","262867.095463819","관광숙박업","","","0","","","","","0","0","0","0","Commodore Hotel Gyeong-Ju","Tourist Accommodations(Tourist Hotels)","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"46","관광숙박업","03_11_01_P","5050000","CDFI2260032010000001","2010-07-05","","01","영업/정상","13","영업중","","","","","054-776-0071","","780-290","경상북도 경주시 신평동 719-70","경상북도 경주시 엑스포로 55-12 (신평동)","38116","신라밀레니엄 라궁","2024-07-31 11:35:39","U","2024-08-02 02:40:00","","407429.947428169","261792.468889804","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","한국전통호텔업",
"47","관광숙박업","03_11_01_P","5050000","CDFI2260032011000001","2011-05-30","","01","영업/정상","13","영업중","","","","","054-778-9200","","","경상북도 경주시 천군동 1686","경상북도 경주시 천군로 95-32 (천군동)","38118","강동리조트","2024-07-31 11:36:14","U","2024-08-02 02:40:00","","406781.38157328","260520.562018772","관광숙박업","","","6","기타","","","콘도미니엄","5","1","295","59196","","","0","0","","0","0","","0","23918.02","","0","","","","","","","0","","","","23918","휴양콘도미니엄업",
"48","관광숙박업","03_11_01_P","5050000","CDFI2260032013000001","2013-05-03","","01","영업/정상","13","영업중","","","","","0507-1336-0078","","780-948","경상북도 경주시 성동동 175-17","경상북도 경주시 원화로340번길 12 (성동동)","38147","호스텔 다현","2024-07-31 11:37:01","U","2024-08-02 02:40:00","","400296.38389999","263394.31964314","관광숙박업","","상업지역","4","주택가주변","","","숙박시설","4","0","0","0","","","0","0","","0","0","","0","537.94","","0","","","","","","","0","","","","538","호스텔업",
"49","관광숙박업","03_11_01_P","5050000","CDFI2260032015000001","2015-07-23","","01","영업/정상","13","영업중","","","","","0507-1381-0024","","780-400","경상북도 경주시 진현동 850-17","경상북도 경주시 영불로 207 (진현동)","38127","아리수 경주 호텔","2024-07-31 11:37:54","U","2024-08-02 02:40:00","","410132.115289677","255989.871705949","관광숙박업","","상업지역","6","","","","호텔","6","1","0","0","","","0","0","","0","0","","0","1.61","","0","","","","","","","1000000000","","","","2","관광호텔업",
"50","관광숙박업","03_11_01_P","5050000","CDFI2260032017000001","2017-07-28","","01","영업/정상","13","영업중","","","","","0507-1423-0909","","","경상북도 경주시 노서동 117-2","경상북도 경주시 태종로727번길 31 (노서동)","38158","청춘게스트하우스 호스텔","2024-07-31 11:38:53","U","2024-08-02 02:40:00","","399394.54290965","262442.450281649","관광숙박업","","일반상업지역","2","학교정화(상대)","","","숙박시설","2","0","11","326","","","0","0","","0","0","","0","326.1","","0","","","","","","","800000000","","","","326","호스텔업",
"51","관광숙박업","03_11_01_P","5050000","CDFI2260032018000001","2018-06-14","","01","영업/정상","13","영업중","","","","","070-4468-1613","","","경상북도 경주시 감포읍 오류리 595 감포요트텔","경상북도 경주시 감포읍 감포로 226-4, 감포요트텔","38125","노벰버리조트","2024-01-18 13:48:35","U","2024-01-20 02:40:00","","426725.752394056","259350.822551903","관광숙박업","","주거지역","4","","","","숙박시설","4","1","39","0","Gyeongju November Resort kids&Spa","Tourist Accommodations(Hostel)","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"52","관광숙박업","03_11_01_P","5050000","CDFI2260032019000001","2019-07-19","","01","영업/정상","13","영업중","","","","","0507-1338-5442","","","경상북도 경주시 진현동 611-124","경상북도 경주시 영불로 248 (진현동)","38127","경주 키즈&가족호텔","2024-07-31 11:40:30","U","2024-08-02 02:40:00","","410448.923320562","256248.330968912","관광숙박업","","일반상업지역","3","","","","숙박시설","2","1","0","0","","","0","0","","0","0","","0","1421.25","","0","","","","","","","0","","","","1421","호스텔업",
