"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"19","수영장업","10_35_01_P","5050000","CDFH3301011999000001","1999-12-20","","03","폐업","03","폐업","2019-07-02","","","","","","780-410","경상북도 경주시 마동 111-1번지","경상북도 경주시 불국로 289-17 (마동)","","코오롱엘에스아이(주) 코오롱호텔 실외수영장","2019-07-02 15:51:08","U","2019-07-04 02:40:00","","409841.988770145","256679.798847849","수영장업","사립","Y","","","","","","",
"20","수영장업","10_35_01_P","5050000","CDFH3301012000000001","2000-07-24","","03","폐업","03","폐업","2014-04-30","","","","054-774-6211","","780-955","경상북도 경주시 황성동 507-2번지","경상북도 경주시 황성로 35-5 (황성동)","","대산스포츠센타수영장","2014-04-30 18:06:49","I","2018-08-31 23:59:59","","399947.190198995","265205.547346378","수영장업","사립","Y","","","","","","",
"21","수영장업","10_35_01_P","5050000","CDFH3301012000000002","2000-11-15","","03","폐업","03","폐업","2006-11-30","","","","054-742-8785","","780-933","경상북도 경주시 동천동 904번지","경상북도 경주시 초당길137번길 20  (동천동)","","코리아스포츠프라자수영장","2007-02-09 14:16:20","I","2018-08-31 23:59:59","","401473.136142724","263181.879375088","수영장업","사립","1","2","","","","","",
"22","수영장업","10_35_01_P","5050000","CDFH3301012002000004","2002-12-21","","03","폐업","03","폐업","2021-12-28","","","","054-745-8060","","","경상북도 경주시 북군동 30-3","경상북도 경주시 보문로 182-27 (북군동)","38116","한화호텔&리조트(주)홍원기","2021-12-28 09:34:07","U","2021-12-30 02:40:00","","404996.63904875","264534.014071404","수영장업","사립","Y","0","0","1062","0","","",
"23","수영장업","10_35_01_P","5050000","CDFH3301012005000001","2005-06-21","","03","폐업","03","폐업","2006-11-14","","","","054-748-8400","","780-280","경상북도 경주시 북군동 11-1번지","경상북도 경주시 보문로 182-29  (북군동)","","하일라 실외수영장","2007-06-20 15:08:40","I","2018-08-31 23:59:59","","404841.798099653","264595.723082789","수영장업","사립","1","","","","","","",
"24","수영장업","10_35_01_P","5050000","CDFH3301012006000001","2006-03-08","","03","폐업","03","폐업","2021-12-28","","","","054-745-8060","","","경상북도 경주시 북군동 30-3","경상북도 경주시 보문로 182-27 (북군동)","38116","한화호텔&리조트(주)스프링돔(실내.외)","2021-12-28 09:53:03","U","2021-12-30 02:40:00","","404996.63904875","264534.014071404","수영장업","사립","Y","0","1","0","0","","",
"25","수영장업","10_35_01_P","5050000","CDFH3301012006000002","2006-04-25","","03","폐업","03","폐업","2019-10-16","","","","054-778-8356","","780-290","경상북도 경주시 신평동 400-1번지 대명리조트 지하 1층","경상북도 경주시 보문로 402-12 (신평동,대명리조트 지하 1층)","","(주)대명호텔앤리조트 경주지점","2019-10-17 08:59:44","U","2019-10-19 02:40:00","","406118.323266086","263079.41944442","수영장업","사립","Y","","","","","","",
"26","수영장업","10_35_01_P","5050000","CDFH3301012019000001","2019-07-24","","03","폐업","03","폐업","2019-12-23","","","","0547752019","","","경상북도 경주시 천군동 130번지","경상북도 경주시 경감로 614 (천군동)","38118","경주엑스포 여름 Pool 축제","2019-12-23 17:04:53","U","2019-12-25 02:40:00","","406789.870786056","261626.101558061","수영장업","사립","Y","","","","","","",
"27","수영장업","10_35_01_P","5050000","CDFH3301012018000001","2018-07-26","","03","폐업","03","폐업","2022-08-24","","","","054-745-5100","","","경상북도 경주시 외동읍 괘릉리 1233","경상북도 경주시 외동읍 영지로 636","38203","(주)성호리조트 실외수영장","2022-08-24 15:27:02","U","2022-08-27 02:40:00","","408757.414379558","253912.377872526","수영장업","사립","Y","0","0","0","0","","",
"28","수영장업","10_35_01_P","5050000","CDFH3301012002000001","2002-11-26","","01","영업/정상","13","영업중","","","","","054-745-7701","","","경상북도 경주시 신평동 410-2","경상북도 경주시 보문로 422 (신평동)","38117","코모도호텔경주실외수영장","2021-10-26 15:38:32","U","2021-10-28 02:40:00","","406380.199054323","262867.095463819","수영장업","사립","Y","0","0","0","0","","",
"29","수영장업","10_35_01_P","5050000","CDFH3301012002000002","2002-02-07","","01","영업/정상","13","영업중","","","","","054-745-8100","","","경상북도 경주시 신평동 150-2","경상북도 경주시 엑스포로 45 (신평동)","38116","더케이호텔경주 실내수영장","2024-04-01 14:07:49","U","2024-04-03 02:40:00","","406974.008886349","262180.620188077","수영장업","사립","Y","0","0","0","0","","",
"30","수영장업","10_35_01_P","5050000","CDFH3301012017000001","2017-06-14","","01","영업/정상","13","영업중","","","","","070-4216-5218","","","경상북도 경주시 문무대왕면 어일리 1351","경상북도 경주시 문무대왕면 감은로 153","38121","푸르뫼스포츠센터","2023-07-26 16:44:40","U","2023-07-28 02:40:00","","420989.137056889","256462.462231512","수영장업","사립","","2","0","2157.92","0","","",
"31","수영장업","10_35_01_P","5050000","CDFH3301012017000002","2017-06-28","","01","영업/정상","13","영업중","","","","","054-779-4758","","","경상북도 경주시 양남면 읍천리 745","경상북도 경주시 양남면 동해안로 603","38219","월성스포츠센터","2024-12-02 17:08:52","U","2024-12-04 02:40:00","","423329.159942889","246620.493494467","수영장업","사립","Y","0","0","4381.35","0","","",
"32","수영장업","10_35_01_P","5050000","CDFH3301011997000001","1997-08-01","","01","영업/정상","13","영업중","","","","","054-745-7788","","","경상북도 경주시 신평동 370","경상북도 경주시 보문로 484-7 (신평동)","38117","힐튼 경주 실외수영장","2021-08-10 18:06:44","U","2021-08-12 02:40:00","","406465.878338666","262473.494405346","수영장업","사립","Y","0","0","0","0","","",
"33","수영장업","10_35_01_P","5050000","CDFH3301011997000002","1997-08-01","","01","영업/정상","13","영업중","","","","","054-745-7788","","","경상북도 경주시 신평동 370","경상북도 경주시 보문로 484-7 (신평동)","38117","힐튼 경주 실내수영장","2021-08-10 18:05:57","U","2021-08-12 02:40:00","","406465.878338666","262473.494405346","수영장업","사립","Y","0","0","0","0","","",
"34","수영장업","10_35_01_P","5050000","CDFH3301012002000003","2002-02-07","","01","영업/정상","13","영업중","","","","","054-745-8100","","","경상북도 경주시 신평동 150-2","경상북도 경주시 엑스포로 45 (신평동)","38116","더케이호텔경주 실외수영장","2023-06-29 14:13:00","U","2023-07-01 02:40:00","","406974.008886349","262180.620188077","수영장업","사립","Y","0","0","0","0","","",
"35","수영장업","10_35_01_P","5050000","CDFH3301012003000001","2003-02-07","","01","영업/정상","13","영업중","","","","","054-745-7711","","","경상북도 경주시 천군동 191-5","경상북도 경주시 보문로 544 (천군동)","38117","경주월드주식회사(경주지점)","2023-05-01 16:12:29","U","2023-05-03 02:40:00","","406125.268953932","262026.156851081","수영장업","사립","Y","","","","","","",
"36","수영장업","10_35_01_P","5050000","CDFH3301012023000001","2023-02-23","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 용강동 94-1","경상북도 경주시 다불로 141, 1층 (용강동)","38094","조이스포츠클럽","2023-02-23 09:18:05","I","2023-02-25 00:41:04","","401860.529816824","265605.026599411","수영장업","사립","","0","0","906.65","0","","",
"37","수영장업","10_35_01_P","5050000","CDFH3301012012000001","2012-08-02","","04","취소/말소/만료/정지/중지","35","직권말소","2017-11-23","","","","054-741-7040","","780-844","경상북도 경주시 양남면 읍천리 118","경상북도 경주시 양남면 동해안로 603","780-844","월성스포츠센터","2022-12-28 09:30:54","U","2023-05-26 08:48:36","","423329.159942889","246620.493494467","수영장업","사립","Y","2","1","0","0","","",
"38","수영장업","10_35_01_P","5050000","CDFH3301011998000001","1998-07-27","","04","취소/말소/만료/정지/중지","35","직권말소","2024-10-21","","","","054-745-7000","","","경상북도 경주시 신평동 410","경상북도 경주시 보문로 404 (신평동)","38117","보문관광(주)경주콩코드호텔수영장(실외)","2024-10-21 15:51:13","U","2024-10-23 02:40:00","","406283.87171181","262954.63348393","수영장업","사립","Y","0","0","0","0","","",
"39","수영장업","10_35_01_P","5060000","CDFH3301012003000002","2003-02-21","","02","휴업","02","휴업","","2008-07-14","2010-07-14","","433-9475","","740-823","경상북도 김천시 봉산면 태화리 483번지","경상북도 김천시 봉산면 영남대로 734","","둥굴관광농원수영장","2008-07-14 14:44:13","I","2018-08-31 23:59:59","","292217.588046494","294393.746691237","수영장업","사립","0","","","444","","","",
"40","수영장업","10_35_01_P","5060000","CDFH3301012003000001","2003-02-21","","03","폐업","03","폐업","2008-08-06","","","","430-3032","","740-833","경상북도 김천시 어모면 중왕리 472-22번지","","","아천관광농원수영장","2008-08-06 14:56:35","I","2018-08-31 23:59:59","","301176.752854365","298269.130513538","수영장업","사립","0","","","460","","","",
"41","수영장업","10_35_01_P","5060000","CDFH3301012023000001","2023-01-06","","01","영업/정상","13","영업중","","","","","054-430-8899","","","경상북도 김천시 율곡동 801","경상북도 김천시 혁신3로 36 (율곡동)","39660","대한키즈스윔스쿨 김천캠퍼스","2023-06-26 15:21:35","U","2023-06-28 02:40:00","","306267.650736609","291228.946877057","수영장업","사립","","0","0","0","0","","",
"42","수영장업","10_35_01_P","5070000","CDFH3301012002000001","2002-03-07","","04","취소/말소/만료/정지/중지","35","직권말소","","","","","854-5111","","760-340","경상북도 안동시 안막동 527번지","경상북도 안동시 북순환로 421-5 (안막동)","","태영스포시티","2017-01-04 17:56:30","I","2018-08-31 23:59:59","","353941.211998824","344219.69938343","수영장업","사립","","","","1088","","","",
"43","수영장업","10_35_01_P","5080000","CDFH3301012002000001","2002-12-11","","03","폐업","03","폐업","2019-04-24","","","","","","730-050","경상북도 구미시 남통동 150-1번지","경상북도 구미시 금오산로 217-16 (남통동)","730-050","J스포렉스","2019-04-29 18:04:49","U","2019-05-01 02:40:00","","319209.681097803","292014.557333056","수영장업","사립","","","","","","","",
"44","수영장업","10_35_01_P","5080000","CDFH3301012003000001","2003-04-16","","03","폐업","03","폐업","2010-10-11","","","","475-4900","","730-825","경상북도 구미시 옥계동 414번지 외5필","","","그린워터피아","2010-10-11 14:19:45","I","2018-08-31 23:59:59","","","","수영장업","사립","","","","","","","",
"45","수영장업","10_35_01_P","5080000","CDFH3301012007000001","2007-06-12","","03","폐업","03","폐업","2017-08-28","","","","451-8500","","730-050","경상북도 구미시 남통동 253번지","경상북도 구미시 금오산로 341 (남통동)","39309","금오랜드수영장","2018-02-01 13:44:48","I","2018-08-31 23:59:59","","318445.839664313","291069.775747888","수영장업","사립","","","","","","","",
"46","수영장업","10_35_01_P","5080000","CDFH3301011989000001","1989-12-27","","03","폐업","03","폐업","2003-05-19","","","","451-8500","","730-050","경상북도 구미시 남통동 253번지","","","금오산수영장","2004-03-23 17:42:23","I","2018-08-31 23:59:59","","318445.839664313","291069.775747888","수영장업","사립","0","","","","","","",
"47","수영장업","10_35_01_P","5080000","CDFH3301012019000001","2019-07-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 산동면 신당리 1458","경상북도 구미시 산동면 신당1로 24, 바젤파크 5층 501호","39164","스윔슐레 구미캠퍼스","2020-11-11 09:36:43","U","2020-11-13 02:40:00","","328826.899677292","295817.057355274","수영장업","사립","Y","","","","","","",
"48","수영장업","10_35_01_P","5080000","CDFH3301012017000001","2017-01-25","","01","영업/정상","13","영업중","","","","","054-453-2600","","","경상북도 구미시 부곡동 322-1","경상북도 구미시 부곡길 90-4 (부곡동)","39203","AQUA schule(아쿠아 슐레)","2022-10-25 17:29:45","U","2022-10-27 02:40:00","","316411.585312682","295553.567435417","수영장업","사립","","1","0","0","0","","",
"49","수영장업","10_35_01_P","5080000","CDFH3301012005000001","2005-08-24","","01","영업/정상","13","영업중","","","","","473-6300","","730-320","경상북도 구미시 인의동 701-8","경상북도 구미시 인동북길 117 (인의동)","39439","새천년사우나스포츠","2020-12-23 12:39:07","U","2020-12-25 02:40:00","","328594.048431568","289487.433024034","수영장업","사립","","","1","512.82","","","",
"50","수영장업","10_35_01_P","5080000","CDFH3301012014000001","2014-07-17","","01","영업/정상","13","영업중","","","","","054-482-9780","","730-802","경상북도 구미시 선산읍 노상리 333-2","경상북도 구미시 선산읍 단계동길 270, 지하2층","39111","구미시 선산청소년수련관","2023-11-02 10:39:41","U","2023-11-04 02:40:00","","315896.391797313","307248.31502671","수영장업","사립","Y","4","0","0","0","","",
"51","수영장업","10_35_01_P","5080000","CDFH3301012022000001","2022-05-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 산동읍 신당리 1167-11","경상북도 구미시 산동읍 강동로 1159-57, B2층","39157","제이원 스파랜드","2023-08-16 09:50:44","U","2023-08-18 02:40:00","","328182.220857143","296676.457185899","수영장업","사립","","0","0","0","0","","",
"52","수영장업","10_35_01_P","5090000","CDFH3301011997000001","1997-12-11","","03","폐업","03","폐업","2008-01-02","","","","634-1114","","750-910","경상북도 영주시 영주동 513번지","","","동진스포츠센타(종합체육시설업 중복 폐업)","2008-01-02 16:43:35","I","2018-08-31 23:59:59","","","","수영장업","사립","0","","","","","","",
"53","수영장업","10_35_01_P","5090000","CDFH3301011999000001","1999-09-10","","03","폐업","03","폐업","2016-06-08","","","","637-5000","","750-863","경상북도 영주시 장수면 화기리 683번지","경상북도 영주시 장수면 충효로2032번길 46","","장수관광농원 수영장","2016-06-08 15:32:27","I","2018-08-31 23:59:59","","339398.883674585","363887.464030724","수영장업","사립","","","","47","","","",
"54","수영장업","10_35_01_P","5100000","CDFH3301012000000001","2000-06-03","","03","폐업","03","폐업","2005-11-16","","","","054-338-3344","","770-030","경상북도 영천시 문외동 200번지","경상북도 영천시 청산길 29 (문외동)","770-030","영천스포츠센터","2013-12-31 14:45:36","I","2018-08-31 23:59:59","","374501.665318196","276583.495257227","수영장업","사립","","","","","","","",
"55","수영장업","10_35_01_P","5100000","CDFH3301012000000002","2000-07-31","","03","폐업","03","폐업","2004-12-31","","","","054)337-8200","","770-805","경상북도 영천시 금호읍 원제리 20번지","경상북도 영천시 금호읍 원제2길 16-8","","윤성스포츠센타","2005-12-07 09:58:11","I","2018-08-31 23:59:59","","371373.472730792","273058.491668191","수영장업","사립","0","","","","","","",
"56","수영장업","10_35_01_P","5100000","CDFH3301012024000001","2024-06-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 영천시 고경면 용전리 388","경상북도 영천시 고경면 고도길 38","38904","드림랜드 오토캠핑장 수영장","2024-07-16 09:54:28","U","2024-07-18 02:40:00","","380342.119198246","277812.736898596","수영장업","사립","Y","0","0","0","0","","",
"57","수영장업","10_35_01_P","5100000","CDFH3301012023000001","2023-05-10","","01","영업/정상","13","영업중","","","","","","","","경상북도 영천시 청통면 호당리 552-1","경상북도 영천시 청통면 장수로 438","38872","배롱집","2023-05-10 11:35:21","I","2023-05-12 00:19:53","","370819.67633275","278676.673925426","수영장업","사립","","0","0","0","0","","",
"58","수영장업","10_35_01_P","5110000","CDFH3301012006000001","2006-06-29","","03","폐업","03","폐업","2014-03-03","","","","054)535-0069","","742-070","경상북도 상주시 냉림동 88번지","경상북도 상주시 냉림2길 90 (냉림동)","742-070","상주스포렉스 야외수영장","2014-03-03 15:46:54","I","2018-08-31 23:59:59","","","","수영장업","사립","","","","","","","",
"59","수영장업","10_35_01_P","5110000","CDFH3301011996000001","1996-07-25","","03","폐업","03","폐업","2024-04-08","","","","054-532-1230","","742-961","경상북도 상주시 사벌국면 삼덕리 산 11-4","경상북도 상주시 사벌면 경천로 683-47","37128","경천대어린이랜드수영장","2024-04-08 16:10:21","U","2024-04-10 02:40:00","","310604.846336547","329734.423933557","수영장업","사립","Y","0","0","0","0","","",
"60","수영장업","10_35_01_P","5110000","CDFH3301012004000001","2004-07-30","","03","폐업","03","폐업","2006-06-29","","","","","","742-070","경상북도 상주시 냉림동 88번지","경상북도 상주시 냉림2길 90 (냉림동)","742-070","상주스포맥스야외수영장","2014-01-22 10:48:38","I","2018-08-31 23:59:59","","","","수영장업","사립","","","","","","","",
"61","수영장업","10_35_01_P","5110000","CDFH3301012025000001","2025-01-13","","01","영업/정상","13","영업중","","","","","054-536-9925","","","경상북도 상주시 낙동면 낙동리 산 1-17 상주시 청소년 해양교육원","경상북도 상주시 낙동면 낙동1길 144-10, 상주시 청소년 해양교육원","37251","상주시청소년해양교육원","2025-01-13 13:24:51","I","2025-01-15 00:11:12","","317461.363984069","319425.332607342","수영장업","사립","Y","2","2","0","0","","",
"62","수영장업","10_35_01_P","5120000","CDFH3301012007000001","2007-01-03","","03","폐업","03","폐업","2016-05-04","","","","","","745-801","경상북도 문경시 문경읍 상초리 355-0002번지","","","문경시 야외수영장","2016-05-04 10:55:42","I","2018-08-31 23:59:59","","295844.792745754","362620.237762749","수영장업","사립","","","","","","","",
"63","수영장업","10_35_01_P","5120000","CDFH3301012018000001","2018-07-06","","03","폐업","03","폐업","2018-08-26","","","","054-572-6854","","","경상북도 문경시 가은읍 왕능리 480번지","경상북도 문경시 가은읍 왕능길 114","36995","에코랄라 워터랜드","2018-09-03 13:17:59","U","2018-09-03 23:59:59","","294668.195534827","350925.553364357","수영장업","사립","","","","","","","",
"64","수영장업","10_35_01_P","5120000","CDFH3301012016000001","2016-05-11","","01","영업/정상","13","영업중","","","","","054-555-0001","","","경상북도 문경시 호계면 호계리 23","경상북도 문경시 호계면 상무로 377","36930","성보촌야외수영장","2020-12-14 08:43:43","U","2020-12-16 02:40:00","","306758.323386829","350039.772158627","수영장업","사립","Y","","","2404.74","","","",
"65","수영장업","10_35_01_P","5120000","CDFH3301012005000001","2005-04-01","","04","취소/말소/만료/정지/중지","35","직권말소","2019-12-31","","","","","","745-884","경상북도 문경시 모전동 497-1번지","","","국민체육센터","2020-02-14 10:33:34","U","2020-02-16 02:40:00","","","","수영장업","사립","","","","","","","",
"66","수영장업","10_35_01_P","5130000","CDFH3301012010000001","2010-07-15","","03","폐업","03","폐업","2021-01-11","","","","","","","경상북도 경산시 남천면 금곡리 668-14","경상북도 경산시 남천면 남천로 305-61","38696","경산스파월드","2021-01-11 16:12:35","U","2021-01-13 02:40:00","","356929.17840946","252553.184518251","수영장업","사립","Y","2","1","4722","500","","",
"67","수영장업","10_35_01_P","5130000","CDFH3301012018000001","2018-10-04","","03","폐업","03","폐업","2023-04-11","","","","053-851-0047","","","경상북도 경산시 하양읍 금락리 409-3","경상북도 경산시 하양읍 대학로295길 60, 1동 1층","38437","예인프랜즈학원","2023-04-11 11:03:06","U","2023-04-13 02:40:00","","","","수영장업","사립","Y","1","1","465.01","0","","",
"68","수영장업","10_35_01_P","5130000","CDFH3301012018000002","2018-11-02","","01","영업/정상","13","영업중","","","","","053-814-2100","","","경상북도 경산시 백천동 127","경상북도 경산시 백천길 13-14, 1동 1층 (백천동)","38649","백천스포츠파크","2024-10-15 15:01:24","U","2024-10-17 02:40:00","","357572.719330681","257641.69016618","수영장업","사립","Y","1","0","885.8","0","","",
"69","수영장업","10_35_01_P","5130000","CDFH3301012016000001","2016-05-13","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 중산동 27","경상북도 경산시 경산로54길 27 (중산동)","38658","WITH 어린이수영장","2021-10-06 15:44:20","U","2021-10-08 02:40:00","","355870.715508975","260536.839247591","수영장업","사립","Y","1","0","3479.71","0","","",
"70","수영장업","10_35_01_P","5150000","CDFH3301012007000001","2007-11-02","","01","영업/정상","13","영업중","","","","","054-832-3796","","769-803","경상북도 의성군 의성읍 상리리 637번지","경상북도 의성군 의성읍 충효로 68","37331","의성군청소년센터","2017-09-04 09:35:47","I","2018-08-31 23:59:59","","352942.213319253","318447.851177903","수영장업","사립","","","","","","","",
"71","수영장업","10_35_01_P","5180000","CDFH3301012005000001","2005-12-06","","01","영업/정상","13","영업중","","","","","054-730-7351","","766-801","경상북도 영덕군 영덕읍 화개리 608번지","경상북도 영덕군 영덕읍 강변길 324","36427","영덕문화체육센터수영장","2011-12-20 13:58:34","I","2018-08-31 23:59:59","","411774.808615154","326952.60936488","수영장업","사립","","","2","1657.55","","","",
