"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"175","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212016000003","2016-10-26","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 신세동 173-17번지","경상북도 안동시 성진길 12-11 (신세동)","36685","그림애컬쳐하우스","2020-06-01 11:04:44","U","2020-06-04 02:40:00","","355513.544997532","341951.093484387","외국인관광 도시민박업","","주거지역","1","주택가주변","","","단독주택","1","","3","51","","","","","","","","","","51.37","","","","","","","","","","","","","51",
"176","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212017000001","2017-04-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 금곡동 124-25","경상북도 안동시 금곡길 21-8 (금곡동)","36690","게스트하우스 play at home","2023-11-15 09:27:51","U","2023-11-17 02:40:00","","354033.180832691","342061.924938467","외국인관광 도시민박업","","","0","","","","","0","0","3","0","","","0","0","","0","0","","0","206.62","","0","","","","","","","0","","","","207",
"177","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212025000001","2025-02-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 신안동 277-2 상일금탑맨션","경상북도 안동시 퇴계로 157, 101동 702호 (신안동, 상일금탑맨션)","36688","감나무집","2025-02-20 08:36:36","I","2025-02-22 00:10:41","","354939.11488495","342539.71600054","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"178","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212025000002","2025-02-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 운안동 437-10","경상북도 안동시 열루재길 1-6 (운안동)","36630","미미하우스","2025-03-26 12:33:55","U","2025-03-28 02:40:00","","352812.825024517","342638.198962004","외국인관광 도시민박업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"179","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212021000001","2021-02-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 정하동 301-11","경상북도 안동시 강남8길 7-9, 102호 (정하동)","36751","모닝","2023-05-04 10:48:52","U","2023-05-07 02:40:00","","355251.353922609","340035.230927921","외국인관광 도시민박업","","","3","","","","다가구용 주택(공동주택적용)","0","0","3","0","","","0","0","","0","0","","0","94.6","","0","","","","","","","0","","","","95",
"180","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212024000003","2024-12-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 옥정동 462-1","경상북도 안동시 태사2길 83-17 (옥정동)","36693","이랑","2024-12-04 16:57:48","I","2024-12-06 00:11:59","","355094.338120277","342120.617206663","외국인관광 도시민박업","","일반주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","35.5","","0","","","","","","","0","","","","36",
"181","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212019000001","2019-09-23","","04","취소/말소/만료/정지/중지","35","직권말소","2024-11-25","","","","","","","경상북도 안동시 평화동 71-25","경상북도 안동시 안기천로 127 (평화동)","36653","안동아몬드게스트하우스","2024-11-25 09:36:38","U","2024-11-27 02:40:00","","353751.658404587","342202.491079547","외국인관광 도시민박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","186.76","","0","","","","","","","0","","","","187",
"182","외국인관광도시민박업","03_11_04_P","5070000","CDFI2262212015000002","2015-05-01","","04","취소/말소/만료/정지/중지","35","직권말소","2024-11-25","","","","","","","경상북도 안동시 정하동 315-11 2층 201호","경상북도 안동시 강남8길 46 (정하동, 하늘닮은아이어린이집)","36751","모던하우스","2024-11-25 09:36:10","U","2024-11-27 02:40:00","","355271.649392081","339918.27450425","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","0","0","2","0","","","0","0","","0","0","","0","160.52","","0","","","","","","","0","","","","161",
"183","외국인관광도시민박업","03_11_04_P","5080000","CDFI2262212024000001","2024-06-13","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 임은동 517-2","경상북도 구미시 왕산로5길 14-21, B동 302호 (임은동)","39352","정스테이","2024-06-13 16:30:05","I","2024-06-15 00:14:13","","323272.777526706","288394.759992693","외국인관광 도시민박업","","준공업지역","0","","","","","0","0","0","0","Jung Stay","Home-Stay Business For Foreign Tourist","0","0","","0","0","","0","60","","0","","","","","","","0","","","","60",
"184","외국인관광도시민박업","03_11_04_P","5080000","CDFI2262212024000002","2024-06-13","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 임은동 517-2","경상북도 구미시 왕산로5길 14-21, B동 202호 (임은동)","39352","헤브스테이","2024-06-13 16:22:50","I","2024-06-15 00:14:13","","323272.777526706","288394.759992693","외국인관광 도시민박업","","준공업지역","0","","","","","0","0","0","0","Reve Stay","Home-Stay Business For Foreign Tourist","0","0","","0","0","","0","60","","0","","","","","","","0","","","","60",
"185","외국인관광도시민박업","03_11_04_P","5080000","CDFI2262212025000001","2025-02-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 원평동 415-24","경상북도 구미시 원남로8길 26-1 (원평동)","39302","각산스테이","2025-02-28 09:12:28","I","2025-03-02 00:10:36","","319676.453500736","292491.604596247","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","119.69","","0","","","","","","","0","","","","120",
"186","외국인관광도시민박업","03_11_04_P","5090000","CDFI2262212018000001","2018-12-28","","03","폐업","03","폐업","2024-09-03","","","","","","","경상북도 영주시 가흥동 1381-97","경상북도 영주시 대학로62번길 22, 2층 (가흥동)","36125","Y센터 게스트하우스","2024-09-03 16:28:45","U","2024-09-05 02:40:00","","344205.185761435","368725.388614512","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","다중주택(공동주택적용)","0","0","3","0","","","0","0","","0","0","","0","107.76","","0","","","","","","","0","","","","108",
"187","외국인관광도시민박업","03_11_04_P","5090000","CDFI2262212023000001","2023-02-23","","01","영업/정상","13","영업중","","","","","054-638-9994","","","경상북도 영주시 휴천동 390-21","경상북도 영주시 구성로178번길 18 (휴천동)","36154","주식회사 남산선비마을","2024-01-05 17:27:06","U","2024-01-07 02:40:00","","345376.694483907","368751.584585945","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","다가구용 주택(공동주택적용)","2","0","3","0","","","0","0","","0","0","","0","171.42","","0","","","","","","","2000000","","","","171",
"188","외국인관광도시민박업","03_11_04_P","5100000","CDFI2262212020000001","2020-10-13","","03","폐업","03","폐업","2021-11-24","","","","","","","경상북도 영천시 망정동 160-6","경상북도 영천시 미륵1길 28-2 (망정동)","38864","영천아지트","2022-03-14 11:45:56","U","2022-03-16 02:40:00","","375845.032328898","276661.026305601","외국인관광 도시민박업","","주거지역","2","주택가주변","","","단독주택","2","0","4","0","Yeongcheon agit","foreign tourist urban home-stay business","0","0","","0","0","","0","118.99","","0","","","","","","","30000000","","","","119",
"189","외국인관광도시민박업","03_11_04_P","5120000","CDFI2262212018000001","2018-10-29","","03","폐업","03","폐업","2021-12-31","","","","","","","경상북도 문경시 모전동 658","경상북도 문경시 매봉로 97-12 (모전동)","36975","마이홈(my home)","2022-07-25 14:22:48","U","2022-07-27 02:40:00","","305826.182265115","344089.336818271","외국인관광 도시민박업","","일반주거지역","5","주택가주변","","","다세대주택","5","0","3","0","","","0","0","","0","0","","0","64.99","","0","","","","","","","0","","","","65",
"190","외국인관광도시민박업","03_11_04_P","5120000","CDFI2262212018000002","2018-11-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 문경시 점촌동 269-14","경상북도 문경시 중앙4길 22 (점촌동)","36947","여유(YeoU)","2022-07-25 14:15:36","U","2022-07-27 02:40:00","","307438.554225012","344265.522662142","외국인관광 도시민박업","","일반주거지역","3","주택가주변","","","다가구용 주택(공동주택적용)","3","0","3","0","","","0","0","","0","0","","0","93.3","","0","","","","","","","0","","","","93",
"191","외국인관광도시민박업","03_11_04_P","5130000","CDFI2262212025000001","2025-01-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 임당동 575-11 그랑빌B 102호","경상북도 경산시 둥지로21길 7-1, 그랑빌B 102호 (임당동)","38519","그랑빌B","2025-01-17 18:22:23","I","2025-01-19 00:11:35","","357772.813433194","261737.663941518","외국인관광 도시민박업","","일반주거지역","3","","","","단독주택","3","0","0","0","","","0","0","","0","0","","0","42","","0","","","","","","","40000000","","","","42",
