"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"21","전통사찰","03_07_11_P","5050000","CDFD1009","1988-10-12","","01","영업/정상","05","지정","","","","","054-751-2689","","","경상북도 경주시 서면 천촌리 852번지","","","금정사","2003-06-19 10:20:06","I","2018-10-11 15:46:28","","382565.186200874","263105.881939527","0","0","","","N","","","금정사",
"22","전통사찰","03_07_11_P","5050000","CDFD1010","1988-10-12","","01","영업/정상","05","지정","","","","","054-751-2816","","","경상북도 경주시 서면 천촌리 산 1195번지","","","주사암","2003-06-19 10:23:42","I","2018-10-11 15:46:28","","","","0","0","","","N","","","주사암",
"23","전통사찰","03_07_11_P","5050000","CDFD1011","1988-10-12","","01","영업/정상","05","지정","","","","","054-748-2901","","","경상북도 경주시 내남면 용장리 산 138번지","","","천룡사","2003-06-19 10:25:22","I","2018-10-11 15:46:28","","400926.618698314","253750.293460341","0","0","","","N","","","천룡사",
"24","전통사찰","03_07_11_P","5050000","CDFD1012","1988-10-12","","01","영업/정상","05","지정","","","","","054-775-1129","","","경상북도 경주시 양남면 나산리 848-1번지","","","보덕암","2003-06-19 10:31:23","I","2018-10-11 15:46:28","","420207.494366879","249204.964403207","0","0","","","N","","","보덕암",
"25","전통사찰","03_07_11_P","5050000","CDFD1004","1962-10-10","","01","영업/정상","05","지정","","","","","054-772-8634","","","경상북도 경주시 동천동 406번지","","","백률사","2003-06-19 09:31:55","I","2018-10-11 15:46:28","","401254.643068119","264282.823954596","0","0","","","N","","","백률사",
"26","전통사찰","03_07_11_P","5060000","CDFD1001","1988-07-21","","01","영업/정상","05","지정","","","","","054)436-6174","","","경상북도 김천시 대항면 운수리 216번지","경상북도 김천시 대항면 직지사길 95","","직지사","2003-04-25 17:28:26","I","2018-08-31 23:59:59","","290336.878517672","291108.425030893","60","20000","","","N","","","직지사",
"27","전통사찰","03_07_11_P","5060000","CDFD1002","1988-07-21","","01","영업/정상","05","지정","","","","","437-0038","","","경상북도 김천시 증산면 평촌리 688번지","경상북도 김천시 증산면 평촌2길 335-48","","청암사","2003-04-25 17:46:04","I","2018-08-31 23:59:59","","290470.98292957","266135.503969759","140","5000","","신라 헌안왕 3년 도선국사가 창건 조선인조25년 서산대사가 중창하고 화엄종을 선양하였으며 일제시대 김대운대사가 현재의 건물을 중창","N","","","청암사",
"28","전통사찰","03_07_11_P","5060000","CDFD1003","1988-07-21","","01","영업/정상","05","지정","","","","","437-1305","","","경상북도 김천시 대덕면 조룡리 882번지","","","봉곡사","2003-04-25 18:24:21","I","2018-08-31 23:59:59","","284894.413064282","273506.407624205","10","300","","도선국사가 창건할 당시에는 대소전각이 40여동이 될 만큼 웅장한 사찰로 전해지나 임란으로 소실되어 현재는 쇠락한 모습으로 심산유곡에 위치해 있음","N","","","봉곡사",
"29","전통사찰","03_07_11_P","5060000","CDFD1004","1988-07-21","","01","영업/정상","05","지정","","","","","436-5048","","","경상북도 김천시 개령면 동부리 434번지","경상북도 김천시 개령면 동부1길 212","","계림사","2003-04-25 18:27:53","I","2018-08-31 23:59:59","","306236.695683223","297543.718439483","3","500","","","N","","","계림사",
"30","전통사찰","03_07_11_P","5060000","CDFD1005","1988-07-21","","01","영업/정상","05","지정","","","","","054)430-0111","","","경상북도 김천시 봉산면 덕천리 502-2번지","경상북도 김천시 봉산면 봉산1로 160","","용화사","2003-04-25 18:32:16","I","2018-08-31 23:59:59","","293408.489137853","294655.436000394","3","800","","조선인조(1640년경)대에 조성된 것으로 추정되는 관음석불 입상이 노천에 있었는데 1927년 대웅전을 건립하였음","N","","","용화사",
"31","전통사찰","03_07_11_P","5060000","CDFD1006","1988-07-21","","01","영업/정상","05","지정","","","","","431-6823","","","경상북도 김천시 농소면 봉곡리 485번지","경상북도 김천시 농소면 벽봉로 1444-143","","고방사","2003-04-25 18:35:32","I","2018-08-31 23:59:59","","306522.350671028","284093.567259097","3","1000","","아도화상이 창건하고 1719년에 수천대사가 현위치로 옮겨 중창하였음","N","","","고방사",
"32","전통사찰","03_07_11_P","5060000","CDFD1007","2003-04-25","","01","영업/정상","05","지정","","","","","","","","경상북도 김천시 농소면 봉곡리 15번지","경상북도 김천시 농소면 연명2길 257-212","","신흥사","2003-04-25 18:38:46","I","2018-08-31 23:59:59","","307206.356891947","285688.93553306","3","300","","신라 흥덕왕 9년(834년)도의선사가 창건하였으며 1901년 화재로 소실된 것을 1959년 설우스님이 중창하여 현재에 이르고 있음","N","","","신흥사",
"33","전통사찰","03_07_11_P","5070000","CDFD1001","1988-07-21","","01","영업/정상","05","지정","","","","","(054)853-4181","","","경상북도 안동시 서후면 태장리 901번지","경상북도 안동시 서후면 봉정사길 222","760-821","봉정사","2011-10-30 13:56:31","I","2018-08-31 23:59:59","","348590.683658978","351515.129505858","4","2000","","신라 문무왕때 의상대사의 창건이라는 기록과 능인대덕의 창건이라는 기록이 있으나 대체로 능인대덕의 창건으로 보고 있다. 신라 문무왕 12년(672)에 능인대덕이 수도를 한 후 도력으로 종이 봉(鳳)을 만들어 날렸는데, 이 봉이 앉은 곳에 절을 짓고 봉정사라 하였다는 전설이 있다.
    
  현재 이 절에는 부석사의 무량수전과 함께 우리 나라에서 가장 오래된 목조건물로 알려져 있는 극락전을 비롯하여 대웅전, 화엄강당, 고금당 등의 지정문화재와 무량해회, 범종각, 산령각 등의 건물이 있으며 이밖에도 고려시대에 건립된 것으로 보이는 삼층석탑과 경판고(經板庫)에는 대장경 판목이 보관되어있다. 부속암자로는 영산암(靈山庵) 지조암(知照庵) 내원암(內原庵)이있다.     
  문화재 현황으로는 국보 제15호 봉정사 극락전, 보물 제55호 봉정사 대웅전, 보물 제448호 봉정사 화엄강당, 보물 제449호 봉정사 고금당, 유형 제182호 봉정사 삼층석탑, 유형 제325호 봉정사 만세루, 유형 제328호 봉정사소장유물, 민자 제126호 봉정사 영산암, 문자 제404호 봉정사 동종이 있다.","N","","","봉정사",
"34","전통사찰","03_07_11_P","5070000","CDFD1002","1988-07-21","","01","영업/정상","05","지정","","","","","054-841-6304","","","경상북도 안동시 서후면 태장리 888번지","경상북도 안동시 서후면 개목사길 362","","개목사","2008-12-15 16:10:24","I","2018-08-31 23:59:59","","349069.525047115","352044.866525435","2","300","","대한불교 조계종 16교구 고운사 말사인 개목사(開目寺)는 신라 문무왕때 능인대사에 의하여 창건되었으며 초창 당신에는 상당히 큰 규모를 가진 사찰이었다. 지금은 많이 쇠락하여 원래의 모습은 찾아볼 수 없의며,  다만 그 때의 규모를 짐작할 수 있을 만한 빈터들이 널직하게 자리잡고 있다. 
  현재 개목사는 법당으로 들어가는 중문의 누각건물과 원통전(圓通殿)이 남아있으며 원통전의 왼쪽에 요사채(寮舍砦)가 있고 오른쪽 조금 뒤에 산영각(山靈閣)의 건물이 배치되어 있다. 
  초창 당시에는 흥국사(興國寺)였으나 조선시대에 안동지방에 소경이 많았던 관계로 고불 맹사성 선생께서 흥국사를 개목사(開目寺)로 이름을 고쳐 부처님의 영험으로 눈병을 치료하였다는 설화가 기록되어있는 안동지방의 비보사찰이며,  소장 문화재로는 보물 제242호 개목사원통전이 있다.","N","","","개목사",
"35","전통사찰","03_07_11_P","5070000","CDFD1003","1988-07-21","","01","영업/정상","05","지정","","","","","054-822-2562","","","경상북도 안동시 임동면 수곡리 563번지","경상북도 안동시 임동면 봉황사길 152","760-852","봉황사","2011-11-29 13:56:55","I","2018-08-31 23:59:59","","372980.882710134","340144.2508276","2","900","","대한불교조계종 16교구 고운사 말사인 봉황사(鳳凰寺)는 신라 선덕여왕 13년(644)에 창건되었다고 전하여지나 확실치는 않다. 1980년에 발굴된 아기산봉황사사적비(鵝岐山鳳凰寺事蹟碑)에 따르면 이 절의 이름이 한때 황산사였으며 대웅전을 비롯하여 많은 부속건물을 거느린 큰 사찰이었다고 기록되어 있다. 
  그러나 임진왜란 때 모든 전각이 소실되고 조선 중기 이후에 대웅전과 요사 1채가 중창되어 명맥을 이어오다 근래 선당인 설선당(設禪堂)이 완공되고 1999년에는 극락전을 복원하여 지금에 이르고 있다. 
  부속건물로는 경상북도 유형문화재 제141호인 대웅전(정면5칸, 측면2칸)과 요사채(정면5칸, 측면3칸)  설선당(정면3칸, 측면2칸) 산신각(정면1칸, 측면1칸)으로 구성되어 있으며, 특히 부도(浮屠)군이 있어 옛 명산고찰로서의 향기를 느끼게 한다.","N","","","봉황사",
"36","전통사찰","03_07_11_P","5070000","CDFD1004","1988-07-21","","01","영업/정상","05","지정","","","","","054-822-1188","","","경상북도 안동시 길안면 금곡리 83번지 (760-841)","경상북도 안동시 길안면 미내소일길 138","760-840","용담사","2011-10-30 14:58:01","I","2018-08-31 23:59:59","","372633.18741612","322698.751842169","2","700","","대한불교조계종 16교구 고운사 말사인 용담사(龍潭寺)는 신라 문무왕 4년(664) 화엄화상(華嚴和尙)에 의하여 창건되었으며, 선조 7년(1574) 송혜증 법사(松惠證 法師)에 의하여 재중건 되었다. 번성기엔 절앞을 흐르는 개울에 쌀씻는 물이 저 아래 묵계까지 흐를 정도로 수도승과 불자들이 많았던 대찰이었다.
  현존하는 당우로는 대웅전(大雄殿 정면3칸, 측면2칸)과 무량전(無量殿 정면3칸, 측면2칸)을 비롯하여, 황학선원(黃鶴禪院 정면5칸, 측면2칸) 요사(寮舍 정면5칸, 측면2칸)로 모두 4동이며, 부속암자로 3동(금정암, 극락암, 학소암)이 있었으나 2동은 사라졌고 현재 금정암(金井庵)만이 용담사의 남쪽 금학산 8부 능선에 자리하고 있다. 
  금정암의 부속건물로는 경상북도 문화재자료 제317호로 지정 보호되고 있는 화엄강당(華嚴講堂  정면8칸, 측면3칸)과 산령각(山靈閣)이 있으며 경내 문화재로는 화엄강당과 경상북도 문화재자료 제40호인 용담사 무량전이 있다.","N","","","용담사",
"37","전통사찰","03_07_11_P","5070000","CDFD1005","1988-07-21","","01","영업/정상","05","지정","","","","","","","","경상북도 안동시 서후면 재품리 813번지 (760-823)","경상북도 안동시 서후면 광흥사길 105","760-823","광흥사","2011-11-29 13:41:57","I","2018-08-31 23:59:59","","344251.692296972","350628.904364579","3","700","","경북 안동시 서후면(西後面) 학가산(鶴駕山)에 있는 절.   
대한불교조계종 제16교구 본사인 고운사(孤雲寺)의 말사이다. 신라의 승려 의상(義湘)이 치악산(雉岳山) 구룡사(龜龍寺)를 세운 직후인 669년(문무왕 9)에 창건하였고, 그 뒤 수차례 중수(重修) ·중창(重創)하여 대찰이 되었다.
일제강점기 말 종교탄압 등의 영향을 받아 관리 소홀로 거의 폐사(廢寺) 상태에 이른 데다, 광복 후인 1946년 대화재가 발생하여 대웅전이 소실되고, 6 ·25전쟁을 겪고 난 54~62년에는 극락전 ·학서루(鶴棲樓) 등마저 도괴됨으로써 중요한 전 ·각 들이 거의 없어졌다. 이렇게 되자 《취지금니묘법연화경(翠紙金泥妙法蓮華經)》(보물 제314호)과 《백지묵서(白紙墨書)묘법연화경》(보물 제315호) 등 중요 문화재를 국립경주박물관으로 옮겼고 현재 경내지정문화재로 지방
유형문화재 제313호 안동 광흥사소장 금자사경 1권과 지방문화재자료 제165호 광흥사 응진전이 남아 있다. 
응진전(應眞殿) ·응향각(凝香閣) ·칠성각과, 화재 뒤 복원된 대방(大房) 및 정면 8칸, 측면 3칸의 요사채 등이 남아 있다.","N","","","광흥사",
"38","전통사찰","03_07_11_P","5070000","CDFD1006","1988-07-21","","01","영업/정상","05","지정","","","","","054-857-0076","","","경상북도 안동시 와룡면 가구리 79번지 (760-911)","경상북도 안동시 와룡면 어은길 39","760-912","유하사","2011-11-29 13:45:09","I","2018-08-31 23:59:59","","360247.117640123","347924.531529004","3","500","","대한불교 조계종 16교구 본사 고운사의 말사인 유하사는 1897년 월선보살(月仙菩薩)께서 창건
하셨다.","N","","","유하사",
"39","전통사찰","03_07_11_P","5070000","CDFD1007","1988-07-21","","01","영업/정상","05","지정","","","","","054-859-5996","","","경상북도 안동시 북후면 옹천리 764번지 (760-894)","","","봉서사","2003-02-24 11:43:48","I","2018-08-31 23:59:59","","351617.034300821","357165.375382663","1","120","","부석사를 창건한 의상대사가 도력으로 종이 봉(鳳)을 만들어 날렸다. 봉황은 높이 날아 부석사에서 200여리 떨어져 있는 이곳 학가산에 도착하였다.  종이 봉황은 학가산의 서쪽 산록에 살포시 내려 앉아 알을 까니 이곳에 절을 짓고 영봉사라 이름하였다. 영봉사는 금계포란형의 좋은 땅에 자리를 잡았다.  그렇치만 알을깐 봉황이 이곳에 머물지 않고 새끼들이 성장하게 되자 더 넓은 세상으로 옮겨가게 된다. 봉황은 새끼를 데리고 더 넓고 안락한 곳을 찾기 위하여 주변을 날다가 금학산 자락에 살짝 내려 앉았다. 숲이 울창하고 주변 정경이 한눈에 내려다 보이는 좋은 땅을 찾게되니 이 곳에 다시 절을 짓고 봉황이 깃들었다고 하여 봉서사라 이름하였다. 현재 봉서사는 보광전, 응진전, 포란루, 산신각, 요사 1동으로 이루어져 있는 조그만 사찰이다.","N","","","봉서사",
"40","전통사찰","03_07_11_P","5070000","CDFD1008","2003-02-24","","01","영업/정상","05","지정","","","","","054-822-2176","","","경상북도 안동시 길안면 천지리 699번지 (760-845)","","","선찰사","2003-02-24 12:04:20","I","2018-08-31 23:59:59","","","","1","100","","선찰사는 신라시대 창건된 것으로만 전해지고 그 후의 연혁은 전하지 않고있다. 안동의 향토지인 영가지에 따르면 선찰사는 임하현 남쪽 17리쯤 떨어진 약산 동쪽의 물이 휘돌아 가는 곳에 있다. 왼쪽으로는 절벽이 싸고 있고 앞에는 독산이 마주하였다고 적고 있다.","N","","","선찰사",
"41","전통사찰","03_07_11_P","5070000","CDFD1009","1988-10-12","","01","영업/정상","05","지정","","","","","054-841-1349","","","경상북도 안동시 북후면 석탑리 1226번지","경상북도 안동시 북후면 구둠실길 171","36613","영봉사","2018-02-26 09:40:28","I","2018-08-31 23:59:59","","343045.665633397","356717.650421193","1","30","","영봉사는 지금으로부터 1,200여년 전에 의상(義湘)대사에 의해 창건되었으며 520여년 전 선사(先師) 영송당(永松堂) 도학선사(道學禪師)가 중건하여고 350여년 전에 선사 영학당(永學堂)대선사가 재중건하여 내려오다가 선사 남응선(南應善)대사의 재임시인 1949년 2월 3일 공비(共匪) 토벌계획의 산화(山火) 작전 중 모든 건물이 소실되었다. 그 후 8년동안 주춧돌만 남은 상태로 방치되어 오다가  1957년 9월에 지금의 주지인 도희(道喜)대사가 사재토지 1,400평을 매각하여 재중건 하였다.
사찰의 창건과 관련하여 재미난 일화가 전해지는데 이 이야기는 다음과 같다.
옛날 의상대사가 부석사를 창건하고 나서 신통력으로 한지에 봉황을 그려 하늘에 날리니 살아있는 봉황으로 변해 사찰이 들어설 네 곳에 앉았다. 이 때 봉황은 안동시 서후면의 봉정사(鳳停寺), 북후면 옹천리의 봉서사(鳳棲寺), 북후면 석탑리의 영봉사(詠鳳寺), 예천군 상리면 명봉리의 명봉사(鳴鳳寺)에 나타났다. 이러한 연유로 인해 절의 이름에 봉(鳳)자가 들어가게 되었다.","N","","","영봉사",
"42","전통사찰","03_07_11_P","5070000","CDFD1010","1988-10-12","","01","영업/정상","05","지정","","","","","054-859-5611","","","경상북도 안동시 북후면 장기리 산 143번지 (760-891)","","","옥산사","2003-03-31 10:38:57","I","2018-08-31 23:59:59","","350807.701389911","354627.258347718","1","200","","옥산사가 자리잡고 있는 옥산은 해발 417m이며 산의 정상에 사찰이 자리잡고 있다. 산이 아름답고 구슬과 같이 맑고 깨끗한 물이 계곡을 흐르며 옥석(玉石)이 나던 곳이라 하여 옥산(玉山)이라 불리었으며 산 이름을 따서 옥산사라 하였다. 대한불교 조계종 제16교구 본사인 고운사의 말사 중 하나인 옥산사는 언제 누가 창건하였는지 알려지지 않고 절의 뒤에 있는 마애약사여래좌상(유형문화재 제181호)과 전탑지로 미루어 보아 신라 때부터 유래된 것으로 추측할 뿐이다. 중간에 폐사되었던 것을 1964년에 임추희씨가 새로 법당을 지었고 돌아가신후 지금의 주지이신 월담(月潭)스님으로 오늘에 이르고 있다.
지정문화재로는 지방유형문화재 제181호인 옥산사 마애약사여래좌상이 있으며, 사찰내 부속건물로는 법당(정면4칸, 측면2칸)과 요사(정면4칸, 측면2칸) 산신각이 있다.","N","","","옥산사",
"43","전통사찰","03_07_11_P","5070000","CDFD1011","1988-10-12","","01","영업/정상","05","지정","","","","","054-859-0475","","","경상북도 안동시 남후면 검암리 596번지 (760-871)","경상북도 안동시 남후면 모운사길 83","760-871","모운사","2011-11-29 13:51:23","I","2018-08-31 23:59:59","","347761.476425745","338352.888819876","2","150","","모운사의 창건연대나 그 밖의 내력을 알 수 있는 기록은 전혀 남아 있지 않다. 다만 법당인 백화전(白華殿)의 문 위에 걸려 있는 모운사 중수기를 근거로 하여 살펴볼 수 있다. 중수기에 따르면 도광(道光) 22년(1842)에 백화전을 중수하였고, 신라 태종 무열왕 때 의상조사가 창건한 후 번창할 때에는 십여명의 스님이 상주하는 작지 않은 규모의 사찰이었음을 알 수 있다.
  현재는 법당인 백화전과 요사채 2동이 전부이지만 사찰 주변 여기저기 흩어져있는 기와 조각과 주초석으로 쓰였던 것으로 추정되는 자연석들이 흩어져 있는것으로 보아 여러 동의 전각들이 있었던 것 같다. 지정 문화재로는 문화재자료 제422호 모운사 탱화(3점)이 있다.","N","","","모운사",
"44","전통사찰","03_07_11_P","5070000","CDFD1012","1988-10-12","","01","영업/정상","05","지정","","","","","054-855-5685","","","경상북도 안동시 녹전면 녹래리 741번지 (760-923)","경상북도 안동시 녹전면 일출길 207  ((760-923))","","일출암","2003-03-13 09:46:20","I","2018-08-31 23:59:59","","354843.924548486","360577.684359139","2","200","","일출사는 현재 대한불교 조계종 16교구의 말사로 등록되어 있으며 신라 법흥왕때 의상대사가 창건하였다고 전하여지나 현존하는 기록이 없어서 확인할 길은 없다.  
  일출사가 위치하고 있는 봉수산은 안동시 녹전면과 영주시 평은면의 경계를 이루고 있으며 옛날에 봉수대가 있었으나 현재에는 그 흔적만 남아있고 이름도 그렇게 해서 붙여졌다고 한다. 그리고 이 곳은 해발고도가 500M 넘는 고지대이나 사시사철 마르지 않는 샘물이 솟아나기도 한다.
이 샘물에 대한 전설이 내려오고 있는바 의상대사가 사찰을 창건할때 나날이 사찰의 사세가 커져 100여명의 스님들이 기거하게 되자 물이 모자라게 되었다. 이때 의상대사가 신통력을 발휘하여 물을 끌어 우물을 만들었다고 하며 이 우물은 현재도 사용하고 있다고 한다. 만약 사찰의 주지가 잘못하면 우물의 수위가 내려간다는 전설이 전해온다. 또 조선시대에는 중창불사가 활발하게 진행되어 더욱 이름난 사찰이 되었고 귀중한 문화재와 성보(聖寶)가 있었으나 일제시대에 많이 소실되었다. 현재 부속건물로는 대웅전, 산신각, 누각, 요사채 2동이 있다.","N","","","일출암",
"45","전통사찰","03_07_11_P","5070000","CDFD1013","1988-07-21","","01","영업/정상","05","지정","","","","","054-841-4413","","","경상북도 안동시 이천동 708번지 (760-330)","","","연미사","2008-12-19 10:18:46","I","2018-08-31 23:59:59","","","","2","400","","오도산 기슭에 자리잡은 연미사는 대웅전과 요사채 1동으로 구성된 작은 사찰이다. 연미사는 대웅전이 정면 3칸, 측면 1칸의 규모였으나 협소하여 1978년에 증축하여 정면 4칸, 측면 2칸의 규모를 갖추고 있다. 대웅전 옆에 칠성각이 정면 1칸, 측면 1칸의 크기로 있었으나 70년대 초 새마을운동으로 무허가 건물 철거령에 의거하여 철거된 후 다시 짓지 못하고 있다. 요사채는 대웅전 우측에 정면 4칸, 측면 2칸의 크기이며 신도들이 사용한다.
대웅전은 1978년 증축이 되었고 단청은 1986년에 하였다. 대웅전의 우측에 있는 요사채는 정면 4칸, 측면 1칸의 크기이며 서향집이다. 구조는 북쪽에서부터 부엌+방+방+방의 형태이며 정면 3칸과 우측면 1칸에 띠살문을 설치하였다.
*소장 문화재
-이천동 석불상(보물 제115호),
-삼층석탑(지방유형문화재 제99호)","N","","","연미사",
